Sensors' Acquisition [Hz]: Acc@104.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
17:19:15.348,,-570,-1174,1988
17:19:15.358,,-538,-1213,1954
17:19:15.368,,-420,-1234,1826
17:19:15.378,,-304,-1163,1600
17:19:15.388,,-237,-1022,1483
17:19:15.398,,-232,-983,1434
17:19:15.408,,-120,-910,1134
17:19:15.418,,-60,-830,955
17:19:15.428,,-53,-739,851
17:19:15.438,>Gesture,,,
17:19:15.439,,-95,-716,733
17:19:15.448,,-156,-716,620
17:19:15.458,,-189,-683,624
17:19:15.468,,-156,-697,542
17:19:15.478,,-133,-666,467
17:19:15.488,,-125,-610,319
17:19:15.498,,-128,-547,181
17:19:15.508,,-140,-518,130
17:19:15.518,,-155,-486,53
17:19:15.528,,-165,-421,-45
17:19:15.538,,-222,-390,8
17:19:15.548,,-216,-433,88
17:19:15.558,,-209,-405,70
17:19:15.568,,-187,-297,-59
17:19:15.578,,-170,-210,-249
17:19:15.588,,-145,-135,-342
17:19:15.598,,-78,-102,-382
17:19:15.608,,15,-44,-439
17:19:15.618,,63,16,-526
17:19:15.628,,38,91,-631
17:19:15.638,,-3,168,-685
17:19:15.648,,-39,234,-676
17:19:15.658,,-43,281,-799
17:19:15.668,,-89,534,-1142
17:19:15.678,,-64,611,-1309
17:19:15.688,,-13,650,-1498
17:19:15.698,,7,676,-1576
17:19:15.708,,42,678,-1627
17:19:15.718,,96,682,-1733
17:19:15.728,,154,687,-1815
17:19:15.738,,185,650,-1795
17:19:15.748,,190,606,-1729
17:19:15.758,,168,588,-1605
17:19:15.768,,145,577,-1550
17:19:15.778,,113,552,-1459
17:19:15.788,,77,543,-1360
17:19:15.798,,37,559,-1307
17:19:15.808,,-17,519,-1240
17:19:15.818,,-28,508,-1181
17:19:15.828,,-38,474,-1114
17:19:15.838,,-61,394,-948
17:19:15.848,,-78,312,-773
17:19:15.858,,-109,236,-626
17:19:15.868,,-122,157,-525
17:19:15.878,,-110,110,-533
17:19:15.888,,-101,88,-569
17:19:15.898,,-53,55,-571
17:19:15.908,,33,-10,-474
17:19:15.918,,73,-136,-126
17:19:15.928,,71,-302,-2
17:19:15.938,,36,-316,72
17:19:15.948,,-51,-280,136
17:19:15.958,,-119,-278,169
17:19:15.968,,-136,-247,191
17:19:15.978,,-119,-183,196
17:19:15.988,,-130,-129,262
17:19:15.998,,-119,-123,370
17:19:16.008,,-75,-143,499
17:19:16.018,,-51,-203,667
17:19:16.028,,-56,-358,893
17:19:16.038,,-55,-454,993
17:19:16.048,,-44,-431,1052
17:19:16.058,,-93,-449,1093
17:19:16.068,,-223,-483,1229
17:19:16.078,,-322,-498,1364
17:19:16.088,,-359,-520,1390
17:19:16.098,,-358,-552,1337
17:19:16.108,,-313,-518,1302
17:19:16.118,,-244,-534,1246
17:19:16.128,,-212,-514,1237
17:19:16.138,,-198,-476,1286
17:19:16.148,,-181,-391,1273
17:19:16.158,,-208,-332,1243
17:19:16.168,,-263,-339,1302
17:19:16.178,,-359,-475,1618
17:19:16.188,,-321,-536,1763
17:19:16.198,,-265,-617,1856
17:19:16.208,,-213,-660,1943
17:19:16.218,,-176,-698,1980
17:19:16.228,,-233,-736,1998
17:19:16.238,,-288,-795,1998
17:19:16.248,,-294,-851,1998
17:19:16.258,,-299,-882,1998
17:19:16.268,,-290,-929,1998
17:19:16.278,,-294,-917,1998
17:19:16.288,,-335,-889,1998
17:19:16.298,,-336,-862,1998
17:19:16.308,,-277,-782,1990
17:19:16.318,,-271,-820,1955
17:19:16.328,,-283,-778,1952
17:19:16.338,,-349,-856,1878
17:19:16.348,,-344,-900,1890
17:19:16.358,,-269,-904,1851
17:19:16.368,,-193,-923,1764
17:19:16.378,,-157,-897,1656
17:19:16.388,,-132,-865,1544
17:19:16.398,,-129,-815,1469
17:19:16.408,,-174,-723,1425
17:19:16.418,,-200,-685,1310
17:19:16.428,,-285,-613,1260
17:19:16.438,,-297,-675,1184
17:19:16.448,,-389,-727,1267
17:19:16.458,,-325,-742,1263
17:19:16.468,,-290,-713,1218
17:19:16.478,,-306,-626,1089
17:19:16.488,,-258,-511,985
17:19:16.498,,-209,-448,819
17:19:16.508,,-223,-370,763
17:19:16.518,,-213,-304,678
17:19:16.528,,-183,-274,536
17:19:16.538,,-195,-198,417
17:19:16.548,,-184,-185,355
17:19:16.558,,-145,-216,150
17:19:16.568,,-100,-160,43
17:19:16.578,,-96,-112,-125
17:19:16.588,,-104,-103,-312
17:19:16.598,,-128,-73,-420
17:19:16.608,,-132,-49,-475
17:19:16.618,,-115,-85,-498
17:19:16.628,,-92,-145,-523
17:19:16.638,,-80,-180,-566
17:19:16.648,,-26,-143,-589
17:19:16.658,,-119,-228,-719
17:19:16.668,,-110,-198,-775
17:19:16.678,,-126,-173,-841
17:19:16.688,,-147,-46,-1030
17:19:16.698,,-166,-21,-1194
17:19:16.708,,-154,-54,-1306
17:19:16.718,,-113,-102,-1356
17:19:16.728,,-74,-144,-1381
17:19:16.738,,-58,-142,-1375
17:19:16.748,,-74,-158,-1352
17:19:16.758,,-108,-152,-1352
17:19:16.879,,-279,-172,-876
17:19:16.880,,-279,-172,-876
17:19:16.882,,-279,-172,-876
17:19:16.883,,-279,-172,-799
17:19:16.884,,-272,-187,-799
17:19:16.886,,-272,-187,-799
17:19:16.887,,-272,-187,-799
17:19:16.888,,-272,-187,-799
17:19:16.890,,-272,-187,-799
17:19:16.891,,-272,-187,-799
17:19:16.893,,-255,-194,-734
17:19:16.894,,-255,-194,-734
17:19:16.895,,-255,-194,-734
17:19:16.898,,-255,-194,-734
17:19:16.908,,-243,-202,-706
17:19:16.918,,-220,-218,-686
17:19:16.928,,-192,-202,-622
17:19:16.938,,-169,-213,-558
17:19:16.948,,-136,-220,-391
17:19:16.958,,-107,-229,-299
17:19:16.968,,-82,-221,-213
17:19:16.978,,-64,-236,-115
17:19:16.988,,-71,-291,-15
17:19:16.998,,-105,-344,54
17:19:17.008,,-141,-349,140
17:19:17.018,,-156,-314,218
17:19:17.028,,-125,-299,330
17:19:17.038,,-55,-335,458
17:19:17.048,,-8,-413,572
17:19:17.058,,1,-534,757
17:19:17.068,,27,-607,926
17:19:17.078,,-88,-730,1052
17:19:17.088,,-186,-691,1104
17:19:17.098,,-231,-673,1158
17:19:17.108,,-248,-651,1258
17:19:17.118,,-254,-696,1385
17:19:17.128,,-223,-748,1449
17:19:17.138,,-180,-842,1491
17:19:17.148,,-149,-929,1513
17:19:17.158,,-105,-993,1502
17:19:17.168,,-108,-1013,1564
17:19:17.178,,-147,-1012,1654
17:19:17.188,,-177,-1043,1746
17:19:17.198,,-177,-1089,1962
17:19:17.208,,-195,-1262,1997
17:19:17.218,,-160,-1384,1998
17:19:17.228,,-130,-1477,1998
17:19:17.238,,-112,-1521,1998
17:19:17.248,,-120,-1537,1998
17:19:17.258,,-198,-1514,1998
17:19:17.268,,-312,-1434,1998
17:19:17.278,,-394,-1340,1998
17:19:17.288,,-377,-1338,1998
17:19:17.298,,-305,-1259,1998
17:19:17.308,,-266,-1278,1990
17:19:17.318,,-208,-1202,1905
17:19:17.328,,-204,-1206,1766
17:19:17.338,,-243,-1030,1690
17:19:17.348,,-233,-933,1627
17:19:17.358,,-272,-915,1482
17:19:17.368,,-253,-842,1351
17:19:17.378,,-237,-812,1262
17:19:17.388,,-225,-785,1140
17:19:17.398,,-215,-752,1093
17:19:17.408,,-212,-732,1062
17:19:17.418,,-189,-711,1033
17:19:17.428,,-205,-658,1003
17:19:17.438,,-204,-665,865
17:19:17.448,,-225,-582,812
17:19:17.458,,-202,-492,673
17:19:17.468,,-231,-444,605
17:19:17.478,,-245,-381,533
17:19:17.488,,-249,-351,489
17:19:17.498,,-243,-386,444
17:19:17.508,,-227,-467,452
17:19:17.518,,-201,-504,423
17:19:17.528,,-166,-462,370
17:19:17.538,,-151,-367,244
17:19:17.548,,-201,-239,80
17:19:17.558,,-234,-160,27
17:19:17.568,,-230,-152,-27
17:19:17.578,,-240,-151,-103
17:19:17.588,,-177,-129,-359
17:19:17.598,,-117,-94,-454
17:19:17.608,,-107,-140,-565
17:19:17.618,,-106,-177,-653
17:19:17.628,,-122,-168,-684
17:19:17.638,,-131,-140,-737
17:19:17.648,,-166,-103,-826
17:19:17.658,,-196,-73,-879
17:19:17.668,,-235,-67,-947
17:19:17.678,,-262,-90,-986
17:19:17.688,,-285,-102,-1039
17:19:17.698,,-274,-34,-1101
17:19:17.708,,-276,-26,-1174
17:19:17.718,,-217,-91,-1290
17:19:17.728,,-207,-100,-1361
17:19:17.738,,-216,-105,-1423
17:19:17.748,,-229,-69,-1479
17:19:17.758,,-277,-45,-1510
17:19:17.768,,-305,-20,-1498
17:19:17.778,,-397,-83,-1537
17:19:17.788,,-422,-50,-1512
17:19:17.798,,-445,-78,-1491
17:19:17.808,,-426,-143,-1500
17:19:17.818,,-363,-175,-1470
17:19:17.828,,-309,-245,-1428
17:19:17.838,,-289,-254,-1390
17:19:17.848,,-336,-198,-1301
17:19:17.858,,-341,-191,-1269
17:19:17.868,,-338,-177,-1205
17:19:17.878,,-350,-173,-1132
17:19:17.888,,-375,-176,-1047
17:19:17.898,,-403,-186,-935
17:19:17.908,,-402,-209,-835
17:19:17.918,,-373,-208,-764
17:19:17.928,,-341,-202,-694
17:19:17.938,,-325,-196,-616
17:19:17.948,,-322,-193,-543
17:19:17.958,,-309,-184,-500
17:19:17.968,,-276,-154,-382
17:19:17.978,,-241,-124,-279
17:19:17.988,,-225,-143,-169
17:19:17.998,,-229,-171,-51
17:19:18.008,,-219,-186,59
17:19:18.018,,-200,-171,149
17:19:18.028,,-171,-133,226
17:19:18.038,,-134,-126,309
17:19:18.048,,-99,-139,408
17:19:18.058,,-92,-135,542
17:19:18.068,,-92,-163,640
17:19:18.078,,-112,-245,683
17:19:18.088,,-129,-314,700
17:19:18.098,,-131,-257,788
17:19:18.108,,-140,-203,863
17:19:18.118,,-116,-215,979
17:19:18.128,,-96,-302,1092
17:19:18.138,,-108,-414,1195
17:19:18.148,,-131,-527,1226
17:19:18.158,,-170,-605,1240
17:19:18.168,,-204,-620,1262
17:19:18.178,,-214,-582,1286
17:19:18.304,,-488,-1184,1998
17:19:18.305,,-488,-1184,1998
17:19:18.307,,-488,-1184,1998
17:19:18.308,,-488,-1184,1998
17:19:18.310,,-488,-1184,1998
17:19:18.311,,-488,-1184,1998
17:19:18.312,,-504,-1165,1998
17:19:18.314,,-504,-1165,1998
17:19:18.315,,-504,-1165,1998
17:19:18.316,,-504,-1165,1998
17:19:18.318,,-504,-1165,1998
17:19:18.319,,-504,-1165,1998
17:19:18.320,,-504,-1165,1998
17:19:18.322,,-544,-1039,1998
17:19:18.328,,-544,-1039,1998
17:19:18.338,,-561,-1007,1998
17:19:18.348,,-588,-824,1998
17:19:18.358,,-673,-767,1802
17:19:18.368,,-639,-728,1742
17:19:18.378,,-614,-717,1622
17:19:18.388,,-600,-737,1479
17:19:18.398,,-599,-649,1413
17:19:18.408,,-581,-654,1311
17:19:18.418,,-532,-608,1280
17:19:18.428,,-546,-585,1213
17:19:18.438,,-548,-609,1180
17:19:18.448,,-546,-568,1134
17:19:18.458,,-546,-607,1025
17:19:18.468,,-473,-552,994
17:19:18.478,,-474,-587,902
17:19:18.488,,-499,-630,774
17:19:18.498,,-440,-616,775
17:19:18.508,,-369,-635,807
17:19:18.518,,-361,-612,820
17:19:18.528,,-367,-670,722
17:19:18.538,,-390,-669,672
17:19:18.548,,-358,-596,599
17:19:18.558,,-324,-590,545
17:19:18.568,,-311,-576,501
17:19:18.578,,-342,-588,438
17:19:18.588,,-370,-556,410
17:19:18.598,,-375,-527,382
17:19:18.608,,-374,-495,329
17:19:18.618,,-332,-477,278
17:19:18.628,,-357,-505,252
17:19:18.638,,-344,-447,265
17:19:18.648,,-376,-429,206
17:19:18.658,,-355,-461,106
17:19:18.668,,-349,-460,10
17:19:18.678,,-321,-405,-61
17:19:18.688,,-310,-412,-126
17:19:18.698,,-321,-399,-171
17:19:18.708,,-307,-356,-215
17:19:18.718,,-294,-322,-265
17:19:18.728,,-316,-374,-353
17:19:18.738,,-270,-308,-528
17:19:18.748,,-242,-317,-629
17:19:18.758,,-230,-316,-727
17:19:18.768,,-202,-322,-817
17:19:18.778,,-178,-358,-925
17:19:18.788,,-166,-377,-1012
17:19:18.798,,-163,-383,-1078
17:19:18.808,,-182,-386,-1098
17:19:18.818,,-217,-409,-1090
17:19:18.828,,-241,-437,-1071
17:19:18.838,,-258,-448,-1078
17:19:18.848,,-277,-460,-1045
17:19:18.858,,-297,-460,-1052
17:19:18.868,,-312,-460,-1066
17:19:18.878,,-342,-458,-1102
17:19:18.888,,-341,-386,-1067
17:19:18.898,,-352,-385,-1059
17:19:18.908,,-384,-429,-1100
17:19:18.918,,-359,-436,-1076
17:19:18.928,,-354,-449,-998
17:19:18.938,,-388,-464,-957
17:19:18.948,,-408,-443,-922
17:19:18.958,,-411,-406,-894
17:19:18.968,,-403,-393,-852
