Sensors' Acquisition [Hz]: Acc@104.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
17:19:36.342,,-378,108,482
17:19:36.352,,-292,-20,718
17:19:36.362,,-150,-253,873
17:19:36.372,,-9,-438,1043
17:19:36.382,,58,-594,1255
17:19:36.392,,0,-832,1629
17:19:36.402,,-120,-1098,1938
17:19:36.412,,4,-1501,1998
17:19:36.422,,196,-1893,1998
17:19:36.432,>Gesture,,,
17:19:36.433,,268,-1998,1998
17:19:36.442,,176,-1998,1998
17:19:36.453,,129,-1927,1998
17:19:36.462,,99,-1773,1998
17:19:36.473,,137,-1680,1998
17:19:36.482,,172,-1594,1998
17:19:36.493,,214,-1658,1998
17:19:36.502,,299,-1615,1973
17:19:36.512,,244,-1447,1825
17:19:36.522,,181,-1392,1694
17:19:36.532,,101,-1242,1593
17:19:36.542,,41,-1091,1475
17:19:36.552,,36,-966,1319
17:19:36.562,,48,-750,1176
17:19:36.572,,-14,-223,677
17:19:36.582,,-88,-76,430
17:19:36.592,,-120,-28,281
17:19:36.602,,-122,53,154
17:19:36.612,,-155,69,23
17:19:36.622,,-122,178,-105
17:19:36.632,,-101,151,-165
17:19:36.642,,-86,111,-221
17:19:36.652,,-16,183,-266
17:19:36.662,,63,217,-448
17:19:36.672,,160,295,-730
17:19:36.682,,78,353,-1036
17:19:36.692,,-25,370,-1231
17:19:36.702,,-127,405,-1237
17:19:36.712,,-175,392,-1240
17:19:36.722,,-200,404,-1167
17:19:36.732,,-240,378,-1085
17:19:36.742,,-232,353,-1023
17:19:36.752,,-194,341,-1000
17:19:36.762,,-127,358,-1124
17:19:36.772,,-98,402,-1314
17:19:36.782,,-129,442,-1464
17:19:36.792,,-152,448,-1577
17:19:36.802,,-137,437,-1624
17:19:36.812,,-128,411,-1613
17:19:36.822,,-114,360,-1412
17:19:36.832,,-73,302,-1402
17:19:36.842,,-31,272,-1326
17:19:36.852,,3,227,-1203
17:19:36.862,,60,181,-1076
17:19:36.872,,111,187,-991
17:19:36.882,,118,220,-877
17:19:36.892,,109,244,-755
17:19:36.902,,118,281,-629
17:19:36.912,,120,303,-447
17:19:36.922,,72,277,-228
17:19:36.932,,50,257,-31
17:19:36.942,,39,187,196
17:19:36.952,,-37,-110,715
17:19:36.962,,50,-293,935
17:19:36.972,,202,-563,1197
17:19:36.982,,152,-902,1545
17:19:36.992,,-26,-1171,1858
17:19:37.002,,-52,-1434,1998
17:19:37.012,,-64,-1617,1998
17:19:37.022,,-185,-1676,1998
17:19:37.032,,-231,-1634,1998
17:19:37.042,,-214,-1511,1998
17:19:37.052,,-118,-1383,1998
17:19:37.062,,25,-1298,1998
17:19:37.072,,133,-1320,1970
17:19:37.082,,202,-1536,1998
17:19:37.092,,176,-1675,1998
17:19:37.102,,65,-1805,1998
17:19:37.112,,6,-1797,1998
17:19:37.122,,-100,-1688,1998
17:19:37.132,,-101,-1439,1998
17:19:37.142,,-30,-1145,1915
17:19:37.152,,8,-828,1606
17:19:37.162,,43,-586,1346
17:19:37.172,,13,-495,1262
17:19:37.182,,-11,-337,1211
17:19:37.192,,-60,-246,977
17:19:37.202,,15,-1,804
17:19:37.212,,47,267,305
17:19:37.222,,4,338,56
17:19:37.232,,62,420,-221
17:19:37.242,,108,439,-637
17:19:37.252,,64,414,-961
17:19:37.262,,44,378,-1110
17:19:37.272,,-20,369,-1135
17:19:37.282,,-95,361,-1150
17:19:37.292,,-112,361,-1161
17:19:37.302,,-173,390,-1124
17:19:37.312,,-294,509,-1163
17:19:37.322,,-502,583,-1383
17:19:37.332,,-552,655,-1631
17:19:37.342,,-520,721,-1857
17:19:37.352,,-463,734,-1961
17:19:37.362,,-332,701,-1949
17:19:37.372,,-161,624,-1788
17:19:37.382,,-22,545,-1532
17:19:37.392,,63,472,-1355
17:19:37.402,,97,421,-1230
17:19:37.412,,24,388,-1101
17:19:37.422,,-61,361,-976
17:19:37.432,,-90,358,-824
17:19:37.442,,-105,367,-693
17:19:37.452,,-120,405,-624
17:19:37.462,,-104,401,-288
17:19:37.472,,84,333,-110
17:19:37.482,,242,228,66
17:19:37.492,,324,150,319
17:19:37.502,,247,71,680
17:19:37.512,,162,12,1072
17:19:37.522,,156,-146,1331
17:19:37.532,,146,-392,1595
17:19:37.542,,164,-710,1887
17:19:37.552,,195,-1012,1998
17:19:37.562,,194,-1218,1998
17:19:37.572,,162,-1326,1998
17:19:37.582,,113,-1461,1998
17:19:37.592,,12,-1761,1998
17:19:37.602,,-73,-1761,1998
17:19:37.612,,-96,-1734,1998
17:19:37.622,,-73,-1667,1998
17:19:37.632,,47,-1530,1998
17:19:37.642,,107,-1363,1998
17:19:37.652,,60,-1192,1998
17:19:37.662,,57,-1042,1981
17:19:37.672,,55,-912,1842
17:19:37.682,,-13,-827,1736
17:19:37.692,,-56,-772,1709
17:19:37.702,,9,-710,1519
17:19:37.712,,39,-583,1284
17:19:37.722,,-29,-298,967
17:19:37.732,,-151,-133,947
17:19:37.742,,-207,63,782
17:19:37.752,,-170,190,526
17:19:37.762,,-121,175,264
17:19:37.772,,-29,103,124
17:19:37.899,,-46,691,-1994
17:19:37.901,,-46,691,-1994
17:19:37.902,,-46,691,-1994
17:19:37.903,,-46,691,-1994
17:19:37.905,,-46,691,-1994
17:19:37.906,,-46,691,-1994
17:19:37.907,,-46,691,-1997
17:19:37.909,,16,695,-1997
17:19:37.910,,16,695,-1997
17:19:37.912,,16,695,-1997
17:19:37.913,,16,695,-1997
17:19:37.914,,16,695,-1997
17:19:37.916,,16,695,-1997
17:19:37.917,,50,699,-1997
17:19:37.922,,50,699,-1997
17:19:37.932,,52,691,-1991
17:19:37.942,,67,663,-1877
17:19:37.952,,98,623,-1755
17:19:37.962,,95,564,-1594
17:19:37.972,,85,507,-1441
17:19:37.982,,40,408,-1170
17:19:37.992,,23,394,-1074
17:19:38.002,,26,374,-948
17:19:38.012,,36,363,-800
17:19:38.022,,62,367,-578
17:19:38.032,,19,340,-295
17:19:38.042,,-17,314,2
17:19:38.052,,22,296,266
17:19:38.062,,173,251,446
17:19:38.072,,319,127,541
17:19:38.082,,364,92,688
17:19:38.092,,224,73,974
17:19:38.102,,12,24,1612
17:19:38.112,,-176,-248,1800
17:19:38.122,,-57,-459,1949
17:19:38.132,,28,-659,1998
17:19:38.142,,42,-844,1998
17:19:38.152,,6,-996,1998
17:19:38.162,,-19,-1081,1998
17:19:38.172,,-84,-1177,1998
17:19:38.182,,-211,-1234,1998
17:19:38.192,,-298,-1283,1998
17:19:38.202,,-375,-1343,1998
17:19:38.212,,-397,-1344,1998
17:19:38.222,,-315,-1285,1998
17:19:38.232,,-223,-1180,1998
17:19:38.242,,-79,-1116,1998
17:19:38.252,,-90,-1116,1998
17:19:38.262,,-72,-1093,1988
17:19:38.272,,-90,-967,1917
17:19:38.282,,-112,-782,1777
17:19:38.292,,-78,-588,1610
17:19:38.302,,-35,-378,1418
17:19:38.312,,-4,-80,1135
17:19:38.322,,-31,197,816
17:19:38.332,,-64,300,573
17:19:38.342,,-66,310,383
17:19:38.352,,-43,277,178
17:19:38.362,,-48,229,-187
17:19:38.372,,39,224,-322
17:19:38.382,,80,194,-434
17:19:38.392,,122,180,-536
17:19:38.402,,103,198,-653
17:19:38.412,,81,227,-817
17:19:38.422,,71,271,-1058
17:19:38.432,,33,280,-1216
17:19:38.442,,-31,283,-1274
17:19:38.452,,-108,305,-1299
17:19:38.462,,-183,345,-1343
17:19:38.472,,-268,428,-1445
17:19:38.482,,-380,501,-1546
17:19:38.492,,-422,565,-1649
17:19:38.502,,-432,593,-1751
17:19:38.512,,-405,646,-1875
17:19:38.522,,-339,636,-1920
17:19:38.532,,-250,593,-1854
17:19:38.542,,-142,541,-1729
17:19:38.552,,-58,469,-1599
17:19:38.562,,-12,401,-1449
17:19:38.572,,1,351,-1272
17:19:38.582,,-27,318,-1153
17:19:38.592,,-31,292,-985
17:19:38.602,,-30,271,-810
17:19:38.612,,-30,266,-687
17:19:38.622,,8,261,-371
17:19:38.632,,51,242,-194
17:19:38.642,,85,222,-43
17:19:38.652,,92,207,104
17:19:38.662,,89,199,290
17:19:38.672,,112,136,448
17:19:38.682,,198,53,656
17:19:38.692,,224,-75,951
17:19:38.702,,160,-254,1326
17:19:38.712,,132,-428,1656
17:19:38.722,,188,-739,1784
17:19:38.732,,336,-1030,1898
17:19:38.742,,363,-1271,1995
17:19:38.752,,76,-1526,1998
17:19:38.762,,-94,-1499,1998
17:19:38.772,,-176,-1462,1998
17:19:38.782,,-198,-1451,1998
17:19:38.792,,-218,-1441,1998
17:19:38.802,,-204,-1380,1998
17:19:38.812,,-121,-1365,1998
17:19:38.822,,-40,-1372,1998
17:19:38.832,,50,-1327,1998
17:19:38.842,,62,-1245,1998
17:19:38.852,,22,-1135,1973
17:19:38.862,,39,-1061,1826
17:19:38.872,,-5,-1033,1843
17:19:38.882,,-90,-872,1693
17:19:38.892,,-122,-704,1601
17:19:38.902,,-134,-424,1407
17:19:38.912,,-126,-191,1130
17:19:38.922,,-85,-21,942
17:19:38.932,,-56,95,730
17:19:38.942,,-41,146,499
17:19:38.952,,-36,209,269
17:19:38.962,,-55,239,7
17:19:38.972,,-43,230,-118
17:19:38.982,,-10,246,-231
17:19:38.992,,2,211,-270
17:19:39.002,,57,275,-353
17:19:39.012,,35,353,-444
17:19:39.022,,24,438,-598
17:19:39.032,,45,508,-857
17:19:39.042,,29,523,-1057
17:19:39.052,,-37,492,-1172
17:19:39.062,,-78,506,-1206
17:19:39.072,,-66,516,-1222
17:19:39.082,,-67,528,-1209
17:19:39.092,,-64,532,-1205
17:19:39.102,,-72,537,-1200
17:19:39.112,,-47,546,-1210
17:19:39.122,,11,541,-1292
17:19:39.132,,110,568,-1571
17:19:39.142,,119,573,-1797
17:19:39.152,,116,548,-1979
17:19:39.162,,124,519,-1997
17:19:39.172,,132,512,-1997
17:19:39.182,,147,492,-1975
17:19:39.192,,185,441,-1819
17:19:39.202,,220,380,-1631
17:19:39.212,,260,307,-1426
17:19:39.222,,284,247,-1224
17:19:39.232,,285,257,-1092
17:19:39.242,,234,322,-1041
17:19:39.252,,169,425,-853
17:19:39.262,,1,658,-455
17:19:39.384,,-343,-1303,1998
17:19:39.386,,-343,-1303,1998
17:19:39.387,,-343,-1303,1998
17:19:39.388,,-343,-1303,1998
17:19:39.390,,-343,-1303,1998
17:19:39.391,,-343,-1303,1998
17:19:39.393,,-383,-1246,1998
17:19:39.394,,-383,-1246,1998
17:19:39.395,,-383,-1246,1998
17:19:39.397,,-383,-1246,1998
17:19:39.398,,-383,-1246,1998
17:19:39.399,,-383,-1246,1998
17:19:39.401,,-383,-1246,1998
17:19:39.402,,-330,-1170,1998
17:19:39.412,,-266,-1166,1998
17:19:39.422,,-261,-1235,1998
17:19:39.432,,-220,-1314,1998
17:19:39.442,,-152,-1439,1998
17:19:39.452,,-215,-1586,1998
17:19:39.462,,-291,-1625,1998
17:19:39.472,,-287,-1586,1998
17:19:39.482,,-280,-1477,1998
17:19:39.492,,-283,-1314,1998
17:19:39.502,,-266,-1088,1948
17:19:39.512,,-239,-824,1499
17:19:39.522,,-118,-487,1331
17:19:39.532,,-66,-362,1159
17:19:39.542,,-56,-206,958
17:19:39.552,,-83,-75,796
17:19:39.562,,-140,52,602
17:19:39.572,,-204,172,369
17:19:39.582,,-274,224,180
17:19:39.592,,-269,266,44
17:19:39.602,,-192,256,-85
17:19:39.612,,-92,188,-184
17:19:39.622,,-12,287,-361
17:19:39.632,,-17,416,-696
17:19:39.642,,-103,491,-1341
17:19:39.652,,-249,465,-1494
17:19:39.662,,-236,395,-1489
17:19:39.672,,-189,325,-1391
17:19:39.682,,-158,301,-1297
17:19:39.692,,-211,329,-1315
17:19:39.702,,-255,373,-1370
17:19:39.712,,-264,410,-1439
17:19:39.722,,-260,428,-1495
17:19:39.732,,-244,422,-1576
17:19:39.742,,-185,487,-1651
17:19:39.752,,-162,420,-1673
17:19:39.762,,-98,376,-1593
17:19:39.772,,-1,239,-1406
17:19:39.782,,-9,170,-1275
17:19:39.792,,-20,103,-1158
17:19:39.802,,-23,33,-1071
17:19:39.812,,-7,-36,-968
17:19:39.822,,11,-115,-890
17:19:39.832,,41,-83,-903
17:19:39.842,,77,-125,-887
17:19:39.852,,88,-150,-816
17:19:39.862,,174,-225,-704
17:19:39.872,,272,-294,-548
17:19:39.882,,339,-368,-346
17:19:39.892,,381,-456,-124
17:19:39.902,,261,-789,694
17:19:39.912,,81,-978,1073
17:19:39.922,,-131,-1147,1387
17:19:39.932,,-254,-1338,1582
17:19:39.942,,-203,-1532,1646
17:19:39.952,,-122,-1688,1726
17:19:39.962,,-4,-1851,1874
17:19:39.972,,61,-1998,1977
17:19:39.982,,49,-1998,1998
17:19:39.992,,-14,-1960,1998
17:19:40.002,,-65,-1822,1943
17:19:40.012,,-101,-1765,1821
17:19:40.022,,-76,-1703,1675
17:19:40.032,,-124,-1473,1374
17:19:40.042,,-194,-1342,1247
17:19:40.052,,-265,-1217,1077
17:19:40.062,,-351,-1077,926
17:19:40.072,,-368,-961,771
17:19:40.082,,-362,-814,580
17:19:40.092,,-357,-695,409
17:19:40.102,,-338,-581,333
17:19:40.112,,-328,-621,270
17:19:40.122,,-312,-499,144
17:19:40.132,,-389,-344,11
17:19:40.142,,-467,-210,-73
17:19:40.152,,-446,-155,-228
17:19:40.162,,-286,-47,-585
17:19:40.172,,-176,-16,-818
