Sensors' Acquisition [Hz]: Gyro@104.0 
hh:mm:ss.ms, Annotation , GyroX [mdps], GyroY, GyroZ
16:20:38.342,,-3150,840,2940
16:20:38.352,,-3570,1960,4130
16:20:38.362,,-4200,2800,4550
16:20:38.372,,-4830,2660,4480
16:20:38.382,,-4690,1050,3920
16:20:38.392,,-3920,770,3990
16:20:38.402,,-3500,980,4340
16:20:38.412,,-2590,1680,4550
16:20:38.422,,-1190,2170,4200
16:20:38.432,>Stationary,,,
16:20:38.433,,-350,1960,3570
16:20:38.442,,70,1750,2590
16:20:38.453,,420,1330,1750
16:20:38.462,,630,1120,1050
16:20:38.473,,1680,560,980
16:20:38.482,,2800,-560,1050
16:20:38.493,,3150,-1750,0
16:20:38.502,,2590,-2450,0
16:20:38.512,,2100,-3150,-1960
16:20:38.522,,2240,-3500,-2380
16:20:38.532,,2450,-3570,-1960
16:20:38.542,,2030,-3360,-1120
16:20:38.552,,1120,-3570,-420
16:20:38.562,,0,-3850,-210
16:20:38.572,,-700,-4270,-350
16:20:38.582,,-560,-4760,-210
16:20:38.592,,-490,-5040,-70
16:20:38.602,,-560,-4620,0
16:20:38.612,,-560,-3920,140
16:20:38.622,,-840,-3150,70
16:20:38.632,,-980,-2940,-770
16:20:38.642,,-350,-3360,-1330
16:20:38.652,,560,-3430,-1470
16:20:38.662,,1050,-3500,-630
16:20:38.672,,280,-3500,840
16:20:38.682,,-1470,-2870,2380
16:20:38.692,,-1820,-2240,3570
16:20:38.702,,-1190,-2870,3850
16:20:38.712,,-280,-3710,3990
16:20:38.722,,1050,-4200,3850
16:20:38.732,,1820,-4340,3220
16:20:38.742,,1750,-3920,2520
16:20:38.752,,1120,-3360,2100
16:20:38.762,,350,-2660,2240
16:20:38.772,,-280,-2240,2800
16:20:38.782,,140,-2170,3290
16:20:38.792,,490,-2240,3430
16:20:38.802,,770,-2100,3010
16:20:38.812,,980,-1750,2380
16:20:38.822,,1050,-1190,1750
16:20:38.832,,980,-910,1330
16:20:38.842,,700,-770,1190
16:20:38.852,,210,-700,910
16:20:38.862,,210,-280,980
16:20:38.872,,280,70,980
16:20:38.882,,490,-210,770
16:20:38.892,,1050,140,1120
16:20:38.902,,280,630,1190
16:20:38.912,,-280,910,1190
16:20:38.922,,-350,840,1330
16:20:38.932,,-490,770,1540
16:20:38.942,,-560,910,1400
16:20:38.952,,-490,1120,1470
16:20:38.962,,-490,1610,1610
16:20:38.972,,-210,2170,1540
16:20:38.982,,350,1820,1400
16:20:38.992,,560,1050,1260
16:20:39.002,,490,910,910
16:20:39.012,,280,1120,420
16:20:39.022,,420,1680,-70
16:20:39.032,,70,2100,70
16:20:39.042,,70,2450,-70
16:20:39.052,,350,2660,-70
16:20:39.062,,560,2590,-420
16:20:39.072,,770,2170,-910
16:20:39.082,,1470,2030,-1120
16:20:39.092,,1820,2030,-910
16:20:39.102,,1470,1890,-560
16:20:39.112,,350,1960,-770
16:20:39.122,,-420,2030,-840
16:20:39.132,,-840,2030,-770
16:20:39.142,,-910,1890,-840
16:20:39.152,,-1050,910,-490
16:20:39.162,,-2240,700,-420
16:20:39.172,,-3150,1050,-560
16:20:39.182,,-2660,1470,-840
16:20:39.192,,-1400,1610,-910
16:20:39.202,,70,1890,-770
16:20:39.212,,980,2170,-420
16:20:39.222,,1330,2660,-210
16:20:39.232,,1540,2940,140
16:20:39.242,,1610,2940,700
16:20:39.252,,1050,2870,1120
16:20:39.262,,350,2520,1120
