Sensors' Acquisition [Hz]: Acc@104.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
17:17:20.470,,-304,-330,-778
17:17:20.480,,-296,-337,-859
17:17:20.490,,-310,-366,-916
17:17:20.500,,-339,-437,-1069
17:17:20.510,,-384,-470,-1164
17:17:20.520,,-359,-510,-1224
17:17:20.530,,-351,-576,-1257
17:17:20.540,,-399,-593,-1328
17:17:20.550,,-406,-609,-1422
17:17:20.560,>Gesture,,,
17:17:20.561,,-400,-668,-1471
17:17:20.570,,-419,-710,-1491
17:17:20.580,,-449,-709,-1476
17:17:20.590,,-509,-695,-1466
17:17:20.600,,-562,-676,-1480
17:17:20.610,,-548,-648,-1442
17:17:20.620,,-593,-638,-1448
17:17:20.630,,-620,-577,-1355
17:17:20.640,,-606,-527,-1290
17:17:20.650,,-595,-506,-1258
17:17:20.660,,-622,-490,-1222
17:17:20.670,,-610,-457,-1173
17:17:20.680,,-599,-404,-1142
17:17:20.690,,-565,-338,-1085
17:17:20.700,,-521,-268,-1036
17:17:20.710,,-481,-268,-927
17:17:20.720,,-455,-195,-930
17:17:20.730,,-413,-144,-859
17:17:20.740,,-374,-102,-789
17:17:20.750,,-345,-87,-688
17:17:20.760,,-358,-75,-608
17:17:20.770,,-371,-60,-521
17:17:20.780,,-334,-44,-403
17:17:20.790,,-309,27,-329
17:17:20.800,,-313,87,-223
17:17:20.810,,-309,138,-174
17:17:20.820,,-299,165,-95
17:17:20.830,,-272,147,-80
17:17:20.840,,-265,69,-81
17:17:20.850,,-262,8,-57
17:17:20.860,,-245,-29,0
17:17:20.870,,-255,-79,73
17:17:20.880,,-281,-26,329
17:17:20.890,,-371,141,436
17:17:20.900,,-405,191,497
17:17:20.910,,-393,195,476
17:17:20.920,,-347,188,381
17:17:20.930,,-311,153,309
17:17:20.940,,-333,77,289
17:17:20.950,,-387,9,392
17:17:20.960,,-424,-31,526
17:17:20.970,,-464,-11,725
17:17:20.980,,-526,77,910
17:17:20.990,,-593,139,1006
17:17:21.000,,-641,171,1009
17:17:21.010,,-635,14,1088
17:17:21.020,,-671,-15,1239
17:17:21.030,,-788,-14,1421
17:17:21.040,,-890,-55,1554
17:17:21.050,,-953,-78,1708
17:17:21.060,,-1024,-66,1833
17:17:21.070,,-1092,-33,1935
17:17:21.080,,-1139,-11,1997
17:17:21.090,,-1160,-8,1998
17:17:21.100,,-1166,-15,1998
17:17:21.110,,-1180,0,1998
17:17:21.120,,-1184,31,1998
17:17:21.130,,-1213,67,1994
17:17:21.140,,-1156,207,1850
17:17:21.150,,-1099,265,1739
17:17:21.160,,-1078,315,1640
17:17:21.170,,-1049,375,1585
17:17:21.180,,-1035,438,1550
17:17:21.190,,-985,457,1501
17:17:21.200,,-960,494,1450
17:17:21.210,,-927,551,1374
17:17:21.220,,-864,606,1264
17:17:21.230,,-805,619,1139
17:17:21.240,,-754,599,1053
17:17:21.250,,-753,628,983
17:17:21.260,,-743,637,882
17:17:21.270,,-706,632,822
17:17:21.280,,-701,610,837
17:17:21.290,,-717,564,862
17:17:21.300,,-705,520,834
17:17:21.310,,-673,500,750
17:17:21.320,,-629,450,673
17:17:21.330,,-620,404,556
17:17:21.340,,-610,382,462
17:17:21.350,,-593,364,374
17:17:21.360,,-582,338,310
17:17:21.370,,-587,326,264
17:17:21.380,,-601,361,269
17:17:21.390,,-598,367,282
17:17:21.400,,-568,265,255
17:17:21.410,,-584,197,210
17:17:21.420,,-596,140,161
17:17:21.430,,-571,88,117
17:17:21.440,,-544,31,35
17:17:21.450,,-539,8,-52
17:17:21.460,,-516,1,-109
17:17:21.470,,-492,6,-158
17:17:21.480,,-475,56,-211
17:17:21.490,,-483,123,-252
17:17:21.500,,-451,82,-269
17:17:21.510,,-409,20,-314
17:17:21.520,,-432,-11,-434
17:17:21.530,,-449,-102,-486
17:17:21.540,,-398,-158,-526
17:17:21.550,,-392,-184,-620
17:17:21.560,,-315,-188,-671
17:17:21.570,,-288,-158,-793
17:17:21.580,,-286,-116,-881
17:17:21.590,,-284,-115,-971
17:17:21.600,,-311,-197,-1053
17:17:21.610,,-320,-298,-1074
17:17:21.620,,-327,-360,-1116
17:17:21.630,,-319,-413,-1154
17:17:21.640,,-319,-504,-1213
17:17:21.650,,-321,-631,-1377
17:17:21.660,,-319,-641,-1406
17:17:21.670,,-298,-634,-1426
17:17:21.680,,-309,-615,-1454
17:17:21.690,,-348,-575,-1467
17:17:21.700,,-351,-559,-1432
17:17:21.710,,-359,-535,-1344
17:17:21.720,,-374,-479,-1278
17:17:21.730,,-364,-443,-1221
17:17:21.740,,-388,-406,-1187
17:17:21.750,,-404,-357,-1177
17:17:21.760,,-406,-319,-1179
17:17:21.770,,-418,-314,-1163
17:17:21.780,,-385,-329,-1120
17:17:21.790,,-372,-306,-1118
17:17:21.800,,-330,-276,-1108
17:17:21.810,,-271,-205,-1153
17:17:21.820,,-282,-168,-1142
17:17:21.830,,-270,-153,-1103
17:17:21.840,,-258,-192,-1019
17:17:21.850,,-278,-237,-938
17:17:21.860,,-300,-267,-834
17:17:21.870,,-267,-243,-760
17:17:21.993,,-390,20,121
17:17:21.994,,-364,-2,220
17:17:21.995,,-364,-2,220
17:17:21.997,,-364,-2,220
17:17:21.998,,-364,-2,220
17:17:21.999,,-364,-2,220
17:17:22.001,,-364,-2,220
17:17:22.002,,-364,-2,220
17:17:22.003,,-374,-37,316
17:17:22.005,,-374,-37,316
17:17:22.006,,-374,-37,316
17:17:22.007,,-374,-37,316
17:17:22.009,,-374,-37,316
17:17:22.010,,-374,-37,316
17:17:22.020,,-390,-92,447
17:17:22.030,,-407,-129,532
17:17:22.040,,-507,-3,671
17:17:22.050,,-560,46,712
17:17:22.060,,-565,56,707
17:17:22.070,,-559,47,721
17:17:22.080,,-585,1,804
17:17:22.090,,-629,-22,971
17:17:22.100,,-681,-25,1104
17:17:22.110,,-740,-14,1257
17:17:22.120,,-799,50,1327
17:17:22.130,,-876,87,1329
17:17:22.140,,-905,95,1303
17:17:22.150,,-895,100,1281
17:17:22.160,,-918,88,1449
17:17:22.170,,-1040,48,1573
17:17:22.180,,-1139,17,1639
17:17:22.190,,-1186,-2,1728
17:17:22.200,,-1218,16,1838
17:17:22.210,,-1212,51,1858
17:17:22.220,,-1219,108,1897
17:17:22.230,,-1218,149,1845
17:17:22.240,,-1179,155,1847
17:17:22.250,,-1185,170,1824
17:17:22.260,,-1181,173,1827
17:17:22.270,,-1167,264,1757
17:17:22.280,,-1157,341,1684
17:17:22.290,,-1114,404,1560
17:17:22.300,,-1066,425,1545
17:17:22.310,,-1081,489,1566
17:17:22.320,,-1045,511,1544
17:17:22.330,,-1019,530,1515
17:17:22.340,,-967,534,1430
17:17:22.350,,-899,545,1333
17:17:22.360,,-879,572,1215
17:17:22.370,,-828,580,1110
17:17:22.380,,-792,567,1016
17:17:22.390,,-748,549,908
17:17:22.400,,-698,494,837
17:17:22.410,,-688,489,744
17:17:22.420,,-659,458,616
17:17:22.430,,-616,425,540
17:17:22.440,,-535,396,439
17:17:22.450,,-494,384,286
17:17:22.460,,-525,379,188
17:17:22.470,,-535,380,158
17:17:22.480,,-541,368,124
17:17:22.490,,-594,379,142
17:17:22.500,,-635,346,217
17:17:22.510,,-664,296,269
17:17:22.520,,-654,258,217
17:17:22.530,,-593,236,155
17:17:22.540,,-523,180,95
17:17:22.550,,-400,104,-97
17:17:22.560,,-379,86,-181
17:17:22.570,,-403,39,-223
17:17:22.580,,-416,-46,-245
