Sensors' Acquisition [Hz]: Gyro@104.0 
hh:mm:ss.ms, Annotation , GyroX [mdps], GyroY, GyroZ
16:18:38.340,,102340,19880,10920
16:18:38.350,,382760,-5390,7070
16:18:38.360,,121520,-100730,-81270
16:18:38.370,,54460,-57750,-109550
16:18:38.380,,45290,-53760,-113890
16:18:38.390,,46270,-61740,-117110
16:18:38.400,,48300,-68810,-119980
16:18:38.410,,48510,-73500,-121310
16:18:38.420,,45990,-75950,-129360
16:18:38.430,>Gesture,,,
16:18:38.431,,44590,-79660,-138320
16:18:38.440,,47880,-86030,-144900
16:18:38.450,,50050,-89460,-155540
16:18:38.460,,48510,-85120,-174160
16:18:38.470,,47600,-83930,-181580
16:18:38.480,,44310,-83440,-189770
16:18:38.490,,40740,-83720,-198870
16:18:38.500,,38010,-83440,-208600
16:18:38.510,,34370,-82460,-217770
16:18:38.520,,25410,-80010,-226240
16:18:38.530,,16450,-77630,-235550
16:18:38.540,,10920,-76650,-246750
16:18:38.550,,10080,-77420,-256410
16:18:38.560,,11550,-76230,-262990
16:18:38.570,,10360,-72310,-266770
16:18:38.580,,1400,-67690,-272370
16:18:38.590,,-28000,-56840,-292250
16:18:38.600,,-36680,-51030,-303240
16:18:38.610,,-38010,-46760,-311990
16:18:38.620,,-33600,-45360,-318150
16:18:38.630,,-27860,-47320,-322140
16:18:38.640,,-25270,-51660,-322840
16:18:38.650,,-29190,-55020,-318920
16:18:38.660,,-39550,-54250,-311430
16:18:38.670,,-52150,-47880,-302330
16:18:38.680,,-60130,-35770,-293440
16:18:38.690,,-53480,-20790,-284900
16:18:38.700,,-30940,-8680,-274470
16:18:38.710,,-2520,-3010,-248710
16:18:38.720,,35420,-3220,-239330
16:18:38.730,,42350,-4130,-231700
16:18:38.740,,42140,-3220,-224210
16:18:38.750,,37730,-490,-217630
16:18:38.760,,31780,1610,-213290
16:18:38.770,,25830,-700,-212240
16:18:38.780,,17640,-6580,-214340
16:18:38.790,,3080,-11550,-218400
16:18:38.800,,-14070,-13440,-224560
16:18:38.810,,-26880,-12670,-230650
16:18:38.820,,-34860,-10640,-235410
16:18:38.830,,-40460,-7490,-240660
16:18:38.840,,-43400,-3150,-248220
16:18:38.850,,-32830,3920,-247030
16:18:38.860,,-22190,3220,-242340
16:18:38.870,,-16590,2800,-235340
16:18:38.880,,-14910,5390,-227430
16:18:38.890,,-14000,10850,-218540
16:18:38.900,,-9520,18200,-209790
16:18:38.910,,-2800,25200,-206430
16:18:38.920,,-3360,31640,-202230
16:18:38.930,,-8680,36820,-193620
16:18:38.940,,-14210,39480,-184100
16:18:38.950,,-17920,41860,-175560
16:18:38.960,,-21350,44380,-165340
16:18:38.970,,-20650,33530,-137550
16:18:38.980,,-15050,20370,-115710
16:18:38.990,,-13020,6510,-87430
16:18:39.000,,-14560,-4690,-55510
16:18:39.010,,-12950,-12390,-22680
16:18:39.020,,-6860,-17990,7560
16:18:39.030,,4760,-21350,31220
16:18:39.040,,16030,-24640,53900
16:18:39.050,,23940,-21980,72380
16:18:39.060,,30730,-19460,86030
16:18:39.070,,36960,-19950,98490
16:18:39.080,,35350,-20650,109690
16:18:39.090,,28070,-19810,119560
16:18:39.100,,15400,-22470,129920
16:18:39.110,,11550,-29330,137200
16:18:39.120,,17220,-36680,141890
16:18:39.130,,24990,-40530,143850
16:18:39.140,,22400,-40320,147980
16:18:39.150,,11200,-37660,154560
16:18:39.160,,210,-35700,161070
16:18:39.170,,-8610,-35840,166390
16:18:39.180,,-13440,-36750,170870
16:18:39.190,,-14840,-36820,174860
16:18:39.200,,-12670,-36470,178080
16:18:39.210,,-7280,-35770,180600
16:18:39.220,,770,-34230,182770
16:18:39.230,,17290,-34370,187740
16:18:39.240,,21560,-35350,191590
16:18:39.250,,20440,-33670,196280
16:18:39.260,,15330,-28840,200830
16:18:39.270,,8470,-22260,205590
16:18:39.280,,2030,-16660,209020
