Sensors' Acquisition [Hz]: Acc@104.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
17:18:22.341,,959,325,167
17:18:22.351,,954,335,157
17:18:22.361,,934,344,152
17:18:22.371,,931,348,165
17:18:22.381,,934,346,171
17:18:22.391,,916,340,175
17:18:22.401,,900,324,196
17:18:22.411,,887,304,226
17:18:22.421,,877,289,282
17:18:22.431,>Stationary,,,
17:18:22.432,,876,284,301
17:18:22.441,,883,283,315
17:18:22.452,,910,296,311
17:18:22.461,,918,314,296
17:18:22.472,,905,319,272
17:18:22.481,,906,348,248
17:18:22.492,,887,372,225
17:18:22.501,,872,388,216
17:18:22.512,,871,394,213
17:18:22.521,,861,389,216
17:18:22.531,,859,386,215
17:18:22.541,,873,377,200
17:18:22.551,,933,396,185
17:18:22.561,,960,397,154
17:18:22.571,,960,397,122
17:18:22.581,,981,390,112
17:18:22.591,,995,391,79
17:18:22.601,,970,385,135
17:18:22.611,,922,384,138
17:18:22.621,,916,383,151
17:18:22.631,,886,399,175
17:18:22.641,,880,390,204
17:18:22.651,,889,377,226
17:18:22.661,,900,365,243
17:18:22.671,,905,354,258
17:18:22.681,,919,344,261
17:18:22.691,,931,352,258
17:18:22.701,,933,362,247
17:18:22.711,,936,374,242
17:18:22.721,,939,391,235
17:18:22.731,,953,431,223
17:18:22.741,,938,476,208
17:18:22.751,,924,491,189
17:18:22.761,,894,486,210
17:18:22.771,,877,499,225
17:18:22.781,,874,508,231
17:18:22.791,,878,500,237
17:18:22.801,,867,489,241
17:18:22.811,,855,456,252
17:18:22.821,,851,439,265
17:18:22.831,,849,420,272
17:18:22.841,,850,399,282
17:18:22.851,,851,383,293
17:18:22.861,,857,375,303
17:18:22.871,,866,372,310
17:18:22.881,,861,372,305
17:18:22.891,,857,382,308
17:18:22.901,,842,387,304
17:18:22.911,,830,389,309
17:18:22.921,,826,395,316
17:18:22.931,,844,413,339
17:18:22.941,,879,415,333
17:18:22.951,,887,399,323
17:18:22.961,,888,390,328
17:18:22.971,,875,389,325
17:18:22.981,,850,396,330
17:18:22.991,,824,417,344
17:18:23.001,,819,432,340
17:18:23.011,,830,430,349
17:18:23.021,,872,427,346
17:18:23.031,,905,435,336
17:18:23.041,,921,446,343
17:18:23.051,,920,445,345
17:18:23.061,,894,439,353
17:18:23.071,,856,366,354
17:18:23.081,,852,322,356
17:18:23.091,,851,291,348
17:18:23.101,,845,252,343
17:18:23.111,,839,222,342
17:18:23.121,,832,218,344
17:18:23.131,,827,241,346
17:18:23.141,,824,273,343
17:18:23.151,,814,316,333
17:18:23.161,,802,351,335
17:18:23.171,,802,368,335
17:18:23.181,,819,376,323
17:18:23.191,,843,393,333
17:18:23.201,,882,389,331
17:18:23.211,,894,404,344
17:18:23.221,,896,413,377
17:18:23.231,,901,419,397
17:18:23.241,,889,424,404
17:18:23.251,,890,445,414
17:18:23.261,,882,463,426
17:18:23.271,,864,465,429
17:18:23.281,,850,448,421
17:18:23.291,,825,431,408
17:18:23.301,,810,416,416
17:18:23.311,,796,406,421
17:18:23.321,,779,397,418
17:18:23.331,,775,400,412
17:18:23.341,,764,404,401
17:18:23.351,,759,411,398
17:18:23.361,,772,397,393
17:18:23.371,,783,381,386
17:18:23.381,,790,372,385
17:18:23.391,,788,371,385
17:18:23.401,,791,358,378
17:18:23.411,,790,348,374
17:18:23.421,,782,338,375
17:18:23.431,,771,332,371
17:18:23.441,,770,332,368
17:18:23.451,,770,376,368
17:18:23.461,,766,401,370
17:18:23.471,,767,414,375
17:18:23.481,,775,427,376
17:18:23.491,,778,433,373
17:18:23.501,,781,439,366
17:18:23.511,,783,444,375
17:18:23.521,,788,455,391
17:18:23.531,,772,458,384
17:18:23.541,,780,480,383
17:18:23.551,,809,507,371
17:18:23.561,,830,540,365
17:18:23.571,,849,534,333
17:18:23.581,,940,518,260
17:18:23.591,,943,538,256
17:18:23.601,,934,576,253
17:18:23.611,,935,604,257
17:18:23.621,,920,611,242
17:18:23.631,,894,608,258
17:18:23.641,,860,573,296
17:18:23.651,,849,525,320
17:18:23.661,,850,480,333
17:18:23.671,,870,433,370
17:18:23.681,,892,403,396
17:18:23.691,,907,390,398
17:18:23.701,,905,389,378
17:18:23.711,,869,426,353
17:18:23.721,,838,433,330
17:18:23.731,,818,430,311
17:18:23.741,,811,427,276
17:18:23.751,,822,423,233
17:18:23.761,,843,403,186
17:18:23.771,,858,391,148
17:18:23.781,,856,381,132
17:18:23.791,,852,360,124
17:18:23.801,,850,359,114
17:18:23.811,,853,359,121
17:18:23.821,,856,361,143
17:18:23.831,,857,387,178
17:18:23.841,,839,399,198
17:18:23.851,,842,407,217
17:18:23.861,,879,408,232
17:18:23.871,,949,413,245
17:18:23.991,,832,572,154
17:18:23.993,,832,572,154
17:18:23.994,,832,572,154
17:18:23.995,,832,572,154
17:18:23.997,,832,572,154
17:18:23.998,,832,572,131
17:18:23.999,,826,566,131
17:18:24.001,,826,566,131
17:18:24.002,,826,566,131
17:18:24.003,,826,566,131
17:18:24.005,,826,566,131
17:18:24.006,,826,566,131
17:18:24.008,,826,565,110
17:18:24.011,,822,565,110
17:18:24.021,,822,556,100
17:18:24.031,,824,530,104
17:18:24.041,,822,498,123
17:18:24.051,,825,463,139
17:18:24.061,,836,437,152
17:18:24.071,,861,404,179
17:18:24.081,,899,368,174
17:18:24.091,,911,336,210
17:18:24.101,,910,333,214
17:18:24.111,,912,338,226
17:18:24.121,,914,340,239
17:18:24.131,,912,342,255
17:18:24.141,,908,351,262
17:18:24.151,,899,359,265
17:18:24.161,,888,357,263
17:18:24.171,,891,363,259
17:18:24.181,,877,380,268
17:18:24.191,,860,379,265
17:18:24.201,,847,379,237
17:18:24.211,,829,386,221
17:18:24.221,,805,415,206
17:18:24.231,,803,422,206
17:18:24.241,,811,430,208
17:18:24.251,,821,416,212
17:18:24.261,,856,357,214
17:18:24.271,,902,284,218
17:18:24.281,,945,223,220
17:18:24.291,,963,191,217
17:18:24.301,,971,179,223
17:18:24.311,,970,214,223
17:18:24.321,,950,269,220
17:18:24.331,,918,293,212
17:18:24.341,,893,291,179
17:18:24.351,,870,227,168
17:18:24.361,,864,174,171
17:18:24.371,,854,140,180
17:18:24.381,,869,148,224
17:18:24.391,,881,195,260
17:18:24.401,,883,236,281
17:18:24.411,,895,259,299
17:18:24.421,,918,281,309
17:18:24.431,,949,318,303
17:18:24.441,,971,348,282
17:18:24.451,,994,372,256
17:18:24.461,,1024,387,225
17:18:24.471,,1037,397,153
17:18:24.481,,1017,441,133
17:18:24.491,,1008,463,132
17:18:24.501,,995,475,148
17:18:24.511,,985,485,167
17:18:24.521,,956,508,181
17:18:24.531,,923,529,190
17:18:24.541,,898,544,208
17:18:24.551,,880,555,236
17:18:24.561,,855,553,242
17:18:24.571,,838,553,254
17:18:24.581,,830,567,269
17:18:24.591,,821,559,259
17:18:24.601,,815,562,226
17:18:24.611,,831,548,206
17:18:24.621,,835,523,179
17:18:24.631,,819,517,158
17:18:24.641,,797,507,151
17:18:24.651,,788,501,153
17:18:24.661,,793,497,149
17:18:24.671,,791,500,154
17:18:24.681,,790,515,168
17:18:24.691,,781,549,171
17:18:24.701,,767,579,182
17:18:24.711,,769,597,192
17:18:24.721,,764,609,198
17:18:24.731,,751,623,211
17:18:24.741,,739,626,212
17:18:24.751,,734,631,242
17:18:24.761,,723,636,237
17:18:24.771,,721,652,249
17:18:24.781,,723,679,245
17:18:24.791,,733,688,245
17:18:24.801,,731,691,228
17:18:24.811,,742,708,213
17:18:24.821,,749,723,201
17:18:24.831,,761,719,179
17:18:24.841,,776,722,150
17:18:24.851,,769,747,124
17:18:24.861,,781,751,100
17:18:24.871,,785,738,88
17:18:24.881,,798,729,85
17:18:24.891,,825,752,85
17:18:24.901,,848,762,65
17:18:24.911,,870,752,52
17:18:24.921,,910,744,62
17:18:24.931,,956,739,79
17:18:24.941,,1000,735,100
17:18:24.951,,1039,736,101
17:18:24.961,,1060,737,94
17:18:24.971,,1044,744,102
17:18:24.981,,1021,742,103
17:18:24.991,,956,713,101
17:18:25.001,,922,687,104
17:18:25.011,,883,655,110
17:18:25.021,,864,623,107
17:18:25.031,,853,602,109
17:18:25.041,,848,583,93
17:18:25.051,,895,561,142
17:18:25.061,,939,532,163
17:18:25.071,,986,499,153
17:18:25.081,,1020,486,159
17:18:25.091,,1050,471,160
17:18:25.101,,1068,453,147
17:18:25.111,,1064,445,109
17:18:25.121,,1021,426,88
17:18:25.131,,998,416,80
17:18:25.141,,974,395,86
17:18:25.151,,971,370,97
17:18:25.161,,970,354,115
17:18:25.171,,962,345,140
17:18:25.181,,957,338,162
17:18:25.191,,961,335,175
17:18:25.201,,963,337,185
17:18:25.211,,961,338,188
17:18:25.221,,948,340,178
17:18:25.231,,931,340,160
17:18:25.241,,910,329,116
17:18:25.251,,867,318,99
17:18:25.261,,854,303,76
17:18:25.271,,835,289,63
17:18:25.281,,813,281,51
17:18:25.291,,794,272,45
17:18:25.301,,775,268,45
17:18:25.311,,760,266,51
17:18:25.321,,755,256,64
17:18:25.331,,756,256,79
17:18:25.341,,758,260,97
17:18:25.351,,759,269,117
17:18:25.361,,764,276,143
17:18:25.371,,789,287,189
17:18:25.381,,802,288,204
17:18:25.391,,801,296,175
17:18:25.401,,827,295,268
17:18:25.411,,816,308,244
17:18:25.421,,835,342,269
17:18:25.431,,840,381,284
17:18:25.441,,838,423,296
17:18:25.451,,824,445,298
17:18:25.577,,872,602,292
17:18:25.578,,872,602,292
17:18:25.580,,872,602,292
17:18:25.581,,872,602,292
17:18:25.582,,872,602,292
17:18:25.584,,872,602,292
17:18:25.585,,884,597,303
17:18:25.586,,884,597,303
17:18:25.588,,884,597,303
17:18:25.589,,884,597,303
17:18:25.591,,884,597,303
17:18:25.592,,884,597,303
17:18:25.593,,884,597,315
17:18:25.595,,912,611,315
17:18:25.601,,912,611,315
17:18:25.611,,931,618,314
17:18:25.621,,961,620,301
17:18:25.631,,971,641,251
17:18:25.641,,962,657,218
17:18:25.651,,948,680,182
17:18:25.661,,931,706,153
17:18:25.671,,913,724,140
17:18:25.681,,904,730,142
17:18:25.691,,900,725,157
17:18:25.701,,899,718,176
17:18:25.711,,898,719,184
17:18:25.721,,889,718,193
17:18:25.731,,869,715,193
17:18:25.741,,839,720,190
17:18:25.751,,801,731,159
17:18:25.761,,726,763,148
17:18:25.771,,704,748,138
17:18:25.781,,710,724,143
17:18:25.791,,720,692,141
17:18:25.801,,740,667,145
17:18:25.811,,778,649,154
17:18:25.821,,809,633,158
17:18:25.831,,840,622,167
17:18:25.841,,862,626,175
17:18:25.851,,864,648,183
17:18:25.861,,852,660,191
17:18:25.871,,834,658,215
17:18:25.881,,795,644,229
17:18:25.891,,723,638,231
17:18:25.901,,716,638,271
17:18:25.911,,671,642,166
17:18:25.921,,686,662,214
17:18:25.931,,685,666,192
17:18:25.941,,692,668,192
17:18:25.951,,692,669,185
17:18:25.961,,703,667,187
17:18:25.971,,717,667,191
17:18:25.981,,731,671,192
17:18:25.991,,739,670,193
17:18:26.001,,753,662,196
17:18:26.011,,777,652,187
17:18:26.021,,787,658,195
17:18:26.031,,801,662,182
17:18:26.041,,805,667,171
17:18:26.051,,808,670,159
17:18:26.061,,819,671,151
17:18:26.071,,821,666,141
17:18:26.081,,806,686,145
17:18:26.091,,752,668,126
17:18:26.101,,774,707,129
17:18:26.111,,762,681,157
17:18:26.121,,784,674,163
17:18:26.131,,735,657,134
17:18:26.141,,780,694,161
17:18:26.151,,779,677,171
17:18:26.161,,792,687,143
17:18:26.171,,843,709,188
17:18:26.181,,841,700,191
17:18:26.191,,862,673,216
17:18:26.201,,924,689,212
17:18:26.211,,981,686,228
17:18:26.221,,1000,656,202
17:18:26.231,,1019,645,189
17:18:26.241,,1007,636,169
17:18:26.251,,987,642,172
17:18:26.261,,960,629,202
17:18:26.271,,941,605,215
17:18:26.281,,942,586,212
17:18:26.291,,940,573,226
17:18:26.301,,938,554,228
17:18:26.311,,927,531,242
17:18:26.321,,906,568,186
17:18:26.331,,871,539,205
17:18:26.341,,842,538,169
17:18:26.351,,811,534,171
17:18:26.361,,772,513,152
17:18:26.371,,750,494,174
17:18:26.381,,740,477,179
