Sensors' Acquisition [Hz]: Gyro@104.0 
hh:mm:ss.ms, Annotation , GyroX [mdps], GyroY, GyroZ
16:19:52.176,,-1050,-560,770
16:19:52.186,,-70,-1050,1120
16:19:52.196,,0,-1120,1190
16:19:52.206,,-770,-770,910
16:19:52.216,,700,-910,560
16:19:52.226,,1820,-980,490
16:19:52.236,,2310,-1120,350
16:19:52.246,,2660,-1190,210
16:19:52.256,,2380,-1120,140
16:19:52.266,,2240,-1190,210
16:19:52.276,,2660,-1050,420
16:19:52.286,,2870,-1050,420
16:19:52.296,,3360,-1050,420
16:19:52.306,,3430,-980,350
16:19:52.316,,2800,-980,350
16:19:52.326,,2240,-1050,350
16:19:52.336,,1750,-910,350
16:19:52.346,,1400,-910,490
16:19:52.356,,1260,-840,560
16:19:52.366,,1120,-770,630
16:19:52.376,,1470,-770,630
16:19:52.386,,1820,-700,700
16:19:52.396,,1960,-700,700
16:19:52.406,,1750,-700,560
16:19:52.416,,1610,-700,490
16:19:52.426,,1470,-700,560
16:19:52.436,,1400,-770,490
16:19:52.446,,1330,-840,490
16:19:52.456,,1260,-840,490
16:19:52.466,,1120,-910,490
16:19:52.476,,1050,-980,420
16:19:52.486,,1050,-980,420
16:19:52.496,,1050,-980,420
16:19:52.506,,1190,-910,350
16:19:52.516,,1400,-840,420
16:19:52.526,,1470,-770,560
16:19:52.536,,1750,-700,560
16:19:52.546,,1610,-770,490
16:19:52.556,,1400,-840,490
16:19:52.566,,1260,-910,490
16:19:52.576,,1120,-910,490
16:19:52.586,,1260,-910,490
16:19:52.596,,1190,-910,490
16:19:52.606,,1330,-980,490
16:19:52.616,,1400,-910,420
16:19:52.626,,1400,-910,420
16:19:52.636,,1400,-910,420
16:19:52.646,,1330,-910,420
16:19:52.656,,1330,-910,350
16:19:52.666,,1400,-840,420
16:19:52.676,,1330,-840,420
16:19:52.686,,1330,-770,420
16:19:52.696,,1400,-840,420
16:19:52.706,,1400,-910,420
16:19:52.716,,1400,-910,560
16:19:52.726,,1400,-910,560
16:19:52.736,,1400,-840,560
16:19:52.746,,1470,-910,560
16:19:52.756,,1400,-910,560
16:19:52.766,,1330,-980,420
16:19:52.776,,1400,-910,350
16:19:52.786,,1330,-910,490
16:19:52.796,,1330,-910,490
16:19:52.806,,1470,-840,490
16:19:52.816,,1540,-770,560
16:19:52.826,,1540,-770,560
16:19:52.836,,1610,-840,560
16:19:52.846,,1610,-840,560
16:19:52.856,,1470,-840,560
16:19:52.866,,1400,-910,490
16:19:52.876,,1260,-910,420
16:19:52.886,,1120,-910,420
16:19:52.896,,1120,-910,420
16:19:52.906,,1190,-910,420
16:19:52.916,,1610,-700,560
16:19:52.926,,1680,-630,560
16:19:52.936,,1680,-700,630
16:19:52.946,,1540,-700,490
16:19:52.956,,1470,-700,490
16:19:52.966,,1330,-770,420
16:19:52.976,,1260,-770,420
16:19:52.986,,1260,-840,490
16:19:52.996,,1260,-840,420
16:19:53.006,,1400,-910,420
16:19:53.016,,1540,-910,490
16:19:53.026,,1680,-910,560
16:19:53.036,,1610,-770,630
16:19:53.046,,1470,-770,630
16:19:53.056,,1330,-840,560
16:19:53.066,,1260,-840,560
16:19:53.076,,1190,-840,560
16:19:53.086,,1260,-770,560
16:19:53.096,,1330,-840,560
16:19:53.106,,1400,-770,490
16:19:53.116,,1540,-700,490
16:19:53.126,,1610,-770,560
16:19:53.136,,1610,-770,560
16:19:53.146,,1610,-770,560
16:19:53.156,,1470,-700,630
16:19:53.166,,1330,-700,420
16:19:53.176,,1190,-770,420
16:19:53.186,,1260,-840,420
16:19:53.196,,1330,-840,420
16:19:53.206,,1470,-840,490
16:19:53.216,,1540,-840,490
16:19:53.341,,1330,-840,630
16:19:53.342,,1330,-840,630
16:19:53.343,,1330,-840,700
16:19:53.345,,1330,-840,700
16:19:53.346,,1330,-840,700
16:19:53.348,,1330,-840,700
16:19:53.349,,1330,-840,700
16:19:53.350,,1330,-840,700
16:19:53.352,,1330,-840,630
16:19:53.353,,1610,-770,630
16:19:53.354,,1610,-770,630
16:19:53.356,,1610,-770,630
16:19:53.357,,1610,-770,630
16:19:53.358,,1610,-770,630
16:19:53.366,,1540,-840,560
16:19:53.376,,1470,-910,560
16:19:53.386,,1400,-910,490
16:19:53.396,,1260,-1050,490
16:19:53.406,,1120,-1050,420
16:19:53.416,,1190,-1120,420
16:19:53.426,,1260,-1050,420
16:19:53.436,,1400,-980,490
16:19:53.446,,1540,-910,560
16:19:53.456,,1610,-910,560
16:19:53.466,,1470,-840,560
16:19:53.476,,1400,-840,490
16:19:53.486,,1400,-840,490
16:19:53.496,,1260,-840,420
16:19:53.506,,1260,-840,420
16:19:53.516,,1400,-770,420
16:19:53.526,,1400,-700,490
16:19:53.536,,1400,-700,490
16:19:53.546,,1400,-700,490
16:19:53.556,,1400,-700,490
16:19:53.566,,1400,-700,490
16:19:53.576,,1400,-700,560
16:19:53.586,,1470,-770,630
16:19:53.596,,1400,-770,560
16:19:53.606,,1400,-840,560
16:19:53.616,,1400,-840,560
16:19:53.626,,1400,-910,560
16:19:53.636,,1330,-980,490
16:19:53.646,,1330,-980,490
16:19:53.656,,1330,-980,560
16:19:53.666,,1400,-980,560
16:19:53.676,,1330,-980,560
16:19:53.686,,1400,-770,630
16:19:53.696,,1400,-700,630
16:19:53.706,,1470,-770,630
16:19:53.716,,1470,-770,560
16:19:53.726,,1330,-910,490
16:19:53.736,,1260,-980,350
16:19:53.746,,1190,-1050,350
16:19:53.756,,1260,-1050,350
16:19:53.766,,1400,-980,490
16:19:53.776,,1470,-770,560
16:19:53.786,,1540,-630,630
16:19:53.796,,1610,-560,630
16:19:53.806,,1540,-700,560
16:19:53.816,,1190,-1050,210
16:19:53.826,,910,-1330,140
16:19:53.836,,1050,-1330,-280
16:19:53.846,,1190,-1260,-350
16:19:53.856,,980,-1470,-2870
16:19:53.866,,1750,-1120,-4060
16:19:53.876,,1750,-1120,-2240
16:19:53.886,,1890,-980,-560
16:19:53.896,,1820,-910,-70
16:19:53.906,,1750,-980,70
16:19:53.916,,1470,-980,210
16:19:53.926,,1330,-1050,140
16:19:53.936,,1120,-910,350
16:19:53.946,,910,-770,420
16:19:53.956,,1190,-700,490
16:19:53.966,,1400,-630,560
16:19:53.976,,1750,-560,560
16:19:53.986,,1960,-490,630
16:19:53.996,,1890,-560,700
16:19:54.006,,1750,-630,630
16:19:54.016,,1680,-630,560
16:19:54.026,,1540,-700,490
16:19:54.036,,1400,-770,490
16:19:54.046,,1330,-840,490
16:19:54.056,,1190,-840,490
16:19:54.066,,1190,-910,490
16:19:54.076,,1120,-910,490
16:19:54.086,,1330,-840,490
16:19:54.096,,1470,-770,490
16:19:54.106,,1540,-770,560
16:19:54.116,,1610,-700,560
16:19:54.126,,1540,-700,560
16:19:54.136,,1540,-770,560
16:19:54.146,,1400,-910,490
16:19:54.156,,1330,-910,490
16:19:54.166,,1400,-980,560
16:19:54.176,,1470,-980,700
16:19:54.186,,1540,-980,770
16:19:54.196,,1470,-910,700
16:19:54.206,,1260,-910,560
16:19:54.216,,1260,-840,490
16:19:54.226,,1260,-910,490
16:19:54.236,,1190,-910,490
16:19:54.246,,1120,-980,420
16:19:54.256,,1050,-980,420
16:19:54.266,,1120,-1050,490
16:19:54.276,,1120,-1050,490
16:19:54.286,,1190,-1050,490
16:19:54.296,,1330,-980,490
16:19:54.306,,1330,-910,420
16:19:54.316,,1400,-840,420
16:19:54.326,,1330,-840,490
16:19:54.336,,1400,-770,560
16:19:54.346,,1400,-700,490
16:19:54.356,,1400,-630,560
16:19:54.366,,1330,-630,560
16:19:54.376,,1260,-700,560
16:19:54.386,,1260,-770,560
16:19:54.396,,1190,-840,560
16:19:54.406,,1260,-840,560
16:19:54.416,,1330,-910,630
16:19:54.426,,1400,-980,630
16:19:54.436,,1470,-910,700
16:19:54.446,,1540,-910,700
16:19:54.456,,1470,-840,560
16:19:54.466,,1470,-840,490
16:19:54.476,,1330,-840,490
16:19:54.486,,1330,-980,420
16:19:54.496,,1330,-910,490
16:19:54.506,,1260,-910,490
16:19:54.516,,1260,-980,420
16:19:54.526,,1330,-910,490
16:19:54.536,,1330,-840,490
16:19:54.546,,1400,-770,420
16:19:54.556,,1540,-770,420
16:19:54.566,,1610,-770,420
16:19:54.576,,1540,-770,490
16:19:54.586,,1470,-770,490
16:19:54.596,,1400,-770,490
16:19:54.606,,1260,-840,420
16:19:54.616,,1120,-910,420
16:19:54.626,,1050,-840,490
16:19:54.636,,1050,-840,420
16:19:54.646,,1190,-840,420
16:19:54.656,,1330,-840,490
16:19:54.666,,1400,-840,560
16:19:54.676,,1470,-840,560
16:19:54.798,,1120,-980,420
16:19:54.799,,1190,-1050,420
16:19:54.800,,1190,-1050,420
16:19:54.802,,1190,-1050,420
16:19:54.803,,1190,-1050,420
16:19:54.805,,1190,-1050,420
16:19:54.806,,1190,-1050,420
16:19:54.807,,1190,-1050,420
16:19:54.809,,1260,-1050,420
16:19:54.810,,1260,-1050,420
16:19:54.811,,1260,-1050,420
16:19:54.813,,1260,-1050,420
16:19:54.814,,1260,-1050,420
16:19:54.816,,1260,-1050,420
16:19:54.826,,1260,-1050,490
16:19:54.836,,1260,-910,560
16:19:54.846,,1330,-910,490
16:19:54.856,,1260,-980,490
16:19:54.866,,1190,-980,420
16:19:54.876,,1260,-910,490
16:19:54.886,,1330,-840,560
16:19:54.896,,1330,-770,490
16:19:54.906,,1400,-770,490
16:19:54.916,,1470,-630,420
16:19:54.926,,1540,-560,490
16:19:54.936,,1540,-490,490
16:19:54.946,,1610,-490,420
16:19:54.956,,1610,-560,490
16:19:54.966,,1470,-700,420
16:19:54.976,,1330,-770,420
16:19:54.986,,1330,-770,490
16:19:54.996,,1330,-770,420
16:19:55.006,,1400,-840,420
16:19:55.016,,1400,-840,420
16:19:55.026,,1470,-840,490
16:19:55.036,,1470,-840,560
16:19:55.046,,1470,-910,560
16:19:55.056,,1470,-980,560
16:19:55.066,,1400,-980,490
16:19:55.076,,1330,-980,490
16:19:55.086,,1330,-980,490
16:19:55.096,,1400,-840,560
16:19:55.106,,1400,-840,630
16:19:55.116,,1400,-840,630
16:19:55.126,,1330,-910,560
16:19:55.136,,1330,-840,490
16:19:55.146,,1330,-840,490
16:19:55.156,,1190,-910,490
16:19:55.166,,1120,-980,420
16:19:55.176,,1050,-1050,350
16:19:55.186,,1050,-1050,350
16:19:55.196,,1120,-1050,350
16:19:55.206,,1260,-980,350
16:19:55.216,,1400,-840,420
16:19:55.226,,1330,-770,490
16:19:55.236,,1330,-770,490
16:19:55.246,,1190,-700,420
16:19:55.256,,1120,-770,420
16:19:55.266,,980,-700,420
16:19:55.276,,980,-770,420
16:19:55.286,,1120,-770,420
16:19:55.296,,1400,-770,560
16:19:55.306,,1610,-700,630
16:19:55.316,,1610,-700,630
16:19:55.326,,1540,-630,560
16:19:55.336,,1260,-630,630
16:19:55.346,,840,-630,560
16:19:55.356,,-210,-700,630
16:19:55.366,,-140,-770,630
16:19:55.376,,140,-770,560
16:19:55.386,,560,-910,560
16:19:55.396,,1120,-910,490
16:19:55.406,,1470,-910,490
16:19:55.416,,1400,-910,350
16:19:55.426,,1050,-770,350
16:19:55.436,,700,-770,420
16:19:55.446,,840,-770,490
16:19:55.456,,1470,-700,560
