Sensors' Acquisition [Hz]: Gyro@104.0 
hh:mm:ss.ms, Annotation , GyroX [mdps], GyroY, GyroZ
16:21:14.337,,-1470,-1680,18480
16:21:14.347,,-1470,-2660,18200
16:21:14.357,,-980,-3500,17710
16:21:14.367,,420,-4130,17080
16:21:14.377,,2520,-4970,16310
16:21:14.387,,5250,-6160,15330
16:21:14.397,,8190,-7700,14070
16:21:14.407,,10850,-9240,12530
16:21:14.417,,12950,-10710,10640
16:21:14.427,>Stationary,,,
16:21:14.428,,14980,-11970,6300
16:21:14.437,,15750,-12110,3920
16:21:14.447,,15750,-12810,1960
16:21:14.457,,17710,-13510,-1190
16:21:14.467,,20300,-14280,-4200
16:21:14.477,,19600,-14700,-5810
16:21:14.487,,18410,-15890,-5320
16:21:14.497,,20230,-17010,-6230
16:21:14.507,,22120,-17850,-9730
16:21:14.517,,22120,-18480,-12810
16:21:14.527,,21630,-18900,-13580
16:21:14.537,,21490,-18690,-13160
16:21:14.547,,21700,-18620,-12950
16:21:14.557,,21420,-19040,-12110
16:21:14.567,,21420,-20090,-9940
16:21:14.577,,22050,-20090,-9310
16:21:14.587,,22890,-20580,-8470
16:21:14.597,,24500,-21700,-7700
16:21:14.607,,26740,-22960,-7350
16:21:14.617,,29050,-24150,-7490
16:21:14.627,,30590,-25340,-7560
16:21:14.637,,32060,-26880,-7630
16:21:14.647,,33600,-28770,-7700
16:21:14.657,,34580,-30660,-7770
16:21:14.667,,33950,-31780,-7910
16:21:14.677,,31430,-31780,-7700
16:21:14.687,,28350,-31080,-6650
16:21:14.697,,25340,-31430,-6720
16:21:14.707,,25760,-32970,-7210
16:21:14.717,,27090,-34790,-8050
16:21:14.727,,28980,-36750,-8960
16:21:14.737,,31150,-38290,-9870
16:21:14.747,,33530,-38990,-10780
16:21:14.757,,35350,-39200,-11690
16:21:14.767,,36050,-39130,-12600
16:21:14.777,,35560,-38570,-13370
16:21:14.787,,34930,-37660,-13720
16:21:14.797,,34370,-36680,-14000
16:21:14.807,,34160,-35630,-14420
16:21:14.817,,34650,-33320,-17990
16:21:14.827,,38010,-32760,-20580
16:21:14.837,,39620,-32270,-23240
16:21:14.847,,41650,-32830,-25690
16:21:14.857,,44030,-34160,-27650
16:21:14.867,,45780,-35420,-28910
16:21:14.877,,46830,-36190,-29540
16:21:14.887,,46970,-36120,-29470
16:21:14.897,,46480,-35280,-28770
16:21:14.907,,46060,-33740,-27720
16:21:14.917,,45990,-31570,-26530
16:21:14.927,,46550,-29190,-25690
16:21:14.937,,47670,-26950,-25270
16:21:14.947,,50960,-23730,-25550
16:21:14.957,,52570,-22680,-25830
16:21:14.967,,54250,-22470,-26040
16:21:14.977,,55790,-22820,-25900
16:21:14.987,,56840,-23450,-25270
16:21:14.997,,57330,-23940,-23870
16:21:15.007,,57470,-24010,-21490
16:21:15.017,,56980,-23520,-18340
16:21:15.027,,55860,-22330,-14770
16:21:15.037,,54740,-20720,-11550
16:21:15.047,,53900,-19180,-8820
16:21:15.057,,53270,-17850,-6510
16:21:15.067,,52780,-16590,-4270
16:21:15.077,,51660,-14630,-280
16:21:15.087,,51870,-14140,1120
16:21:15.097,,52640,-13790,1820
16:21:15.107,,54110,-13580,2100
16:21:15.117,,56560,-13160,2240
16:21:15.127,,59500,-12320,2450
16:21:15.137,,62020,-11130,3290
16:21:15.147,,63000,-9030,4690
16:21:15.157,,61670,-6300,6370
