Sensors' Acquisition [Hz]: Acc@104.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
12:43:31.348,,-478,118,1128
12:43:31.358,,-487,67,1148
12:43:31.368,,-541,22,1176
12:43:31.378,,-562,-36,1240
12:43:31.388,,-667,-131,1365
12:43:31.398,,-602,-335,1989
12:43:31.408,,-466,-396,1998
12:43:31.418,,-435,-458,1998
12:43:31.428,,-544,-476,1998
12:43:31.438,>Gesture,,,
12:43:31.439,,-604,-463,1998
12:43:31.448,,-577,-389,1998
12:43:31.458,,-669,-375,1998
12:43:31.468,,-695,-285,1998
12:43:31.478,,-625,-219,1998
12:43:31.488,,-553,-220,1998
12:43:31.498,,-438,-147,1970
12:43:31.508,,-285,-139,1901
12:43:31.518,,-196,-232,1815
12:43:31.528,,35,-408,1871
12:43:31.538,,-17,-425,1840
12:43:31.548,,-211,-577,1686
12:43:31.558,,-415,-620,1491
12:43:31.568,,-458,-514,1215
12:43:31.578,,-408,-419,948
12:43:31.588,,-290,-393,734
12:43:31.598,,-118,-274,614
12:43:31.608,,154,-147,696
12:43:31.618,,207,-174,723
12:43:31.628,,44,-242,639
12:43:31.638,,-119,-292,573
12:43:31.648,,-273,-367,475
12:43:31.658,,-329,-447,215
12:43:31.668,,-279,-431,64
12:43:31.678,,-179,-226,-153
12:43:31.688,,-59,-41,-346
12:43:31.698,,104,10,-570
12:43:31.708,,135,69,-822
12:43:31.718,,81,102,-1170
12:43:31.728,,49,23,-1460
12:43:31.738,,112,-115,-1600
12:43:31.748,,229,-259,-1459
12:43:31.758,,176,-305,-1253
12:43:31.768,,71,-301,-1047
12:43:31.778,,6,-315,-731
12:43:31.788,,-52,-203,-582
12:43:31.798,,-73,-182,-539
12:43:31.808,,-134,-142,-664
12:43:31.818,,-174,-88,-896
12:43:31.828,,-213,-37,-1107
12:43:31.838,,-263,-50,-1291
12:43:31.848,,-356,-105,-1427
12:43:31.858,,-497,-129,-1480
12:43:31.868,,-590,-139,-1512
12:43:31.878,,-731,-155,-1535
12:43:31.888,,-892,-162,-1617
12:43:31.898,,-859,-19,-1844
12:43:31.908,,-909,50,-1993
12:43:31.918,,-1103,7,-1997
12:43:31.928,,-1012,13,-1994
12:43:31.938,,-892,66,-1974
12:43:31.948,,-742,122,-1889
12:43:31.958,,-598,119,-1730
12:43:31.968,,-520,86,-1612
12:43:31.978,,-486,61,-1460
12:43:31.988,,-456,-3,-1212
12:43:31.998,,-389,-61,-1019
12:43:32.008,,-328,-43,-882
12:43:32.018,,-261,-54,-744
12:43:32.028,,-235,-70,-547
12:43:32.038,,-223,-73,-185
12:43:32.048,,-372,-70,22
12:43:32.058,,-453,-16,198
12:43:32.068,,-550,-8,379
12:43:32.078,,-584,-14,547
12:43:32.088,,-638,-96,674
12:43:32.098,,-856,-147,737
12:43:32.108,,-993,-179,780
12:43:32.118,,-1031,-265,827
12:43:32.128,,-1130,-260,839
12:43:32.138,,-1131,-182,943
12:43:32.148,,-1080,-177,1288
12:43:32.158,,-1011,-160,1745
12:43:32.168,,-575,-56,1991
12:43:32.178,,-584,-87,1993
12:43:32.188,,-512,-109,1998
12:43:32.198,,-431,-207,1998
12:43:32.208,,-331,-266,1998
12:43:32.218,,-184,-228,1998
12:43:32.228,,-166,-264,1998
12:43:32.238,,-213,-267,1998
12:43:32.248,,-272,-317,1998
12:43:32.258,,-370,-325,1998
12:43:32.268,,-538,-317,1998
12:43:32.278,,-715,-290,1940
12:43:32.288,,-744,-302,1644
12:43:32.298,,-354,-325,1762
12:43:32.308,,-135,-307,1950
12:43:32.318,,47,-320,1998
12:43:32.328,,96,-311,1998
12:43:32.338,,-73,-359,1998
12:43:32.348,,-202,-348,1971
12:43:32.358,,-368,-300,1679
12:43:32.368,,-505,-341,1441
12:43:32.378,,-557,-395,1264
12:43:32.388,,-513,-320,1072
12:43:32.398,,-316,-388,1114
12:43:32.408,,-218,-373,1133
12:43:32.418,,-133,-266,1152
12:43:32.428,,-150,-317,1009
12:43:32.438,,-303,-320,890
12:43:32.448,,-401,-269,819
12:43:32.458,,-485,-197,628
12:43:32.468,,-420,-164,469
12:43:32.478,,-377,-89,297
12:43:32.488,,-376,-17,72
12:43:32.498,,-363,43,-137
12:43:32.508,,-339,65,-370
12:43:32.518,,-249,72,-629
12:43:32.528,,-220,75,-962
12:43:32.538,,-283,-24,-1356
12:43:32.548,,-263,-152,-1541
12:43:32.558,,-247,-244,-1566
12:43:32.568,,-222,-275,-1509
12:43:32.578,,-156,-265,-1329
12:43:32.588,,-197,-283,-1164
12:43:32.598,,-280,-203,-965
12:43:32.608,,-257,-44,-799
12:43:32.618,,-260,31,-792
12:43:32.628,,-301,56,-928
12:43:32.638,,-416,89,-1222
12:43:32.648,,-516,106,-1463
12:43:32.658,,-561,114,-1598
12:43:32.668,,-638,83,-1657
12:43:32.678,,-747,10,-1660
12:43:32.688,,-834,2,-1665
12:43:32.698,,-840,43,-1700
12:43:32.708,,-840,118,-1748
12:43:32.718,,-819,149,-1814
12:43:32.728,,-766,138,-1828
12:43:32.738,,-674,202,-1866
12:43:32.748,,-630,221,-1861
12:43:32.894,,-987,-172,683
12:43:32.895,,-987,-172,683
12:43:32.896,,-987,-172,683
12:43:32.898,,-987,-172,683
12:43:32.899,,-987,-172,683
12:43:32.900,,-987,-172,683
12:43:32.902,,-1149,-230,896
12:43:32.903,,-1149,-230,896
12:43:32.904,,-1149,-230,896
12:43:32.906,,-1149,-230,896
12:43:32.907,,-1149,-230,896
12:43:32.909,,-1149,-230,896
12:43:32.910,,-1149,-230,896
12:43:32.911,,-1241,-254,1079
12:43:32.913,,-1241,-254,1079
12:43:32.914,,-1241,-254,1079
12:43:32.918,,-1241,-254,1079
12:43:32.928,,-1015,-207,1296
12:43:32.938,,-885,-311,1726
12:43:32.948,,-694,-382,1541
12:43:32.958,,-739,-365,1456
12:43:32.968,,-737,-327,1619
12:43:32.978,,-665,-351,1891
12:43:32.988,,-638,-409,1998
12:43:32.998,,-536,-423,1998
12:43:33.008,,-211,-240,1998
12:43:33.018,,87,-163,1998
12:43:33.028,,65,-238,1998
12:43:33.038,,-88,-263,1998
12:43:33.048,,-310,-232,1998
12:43:33.058,,-525,-296,1979
12:43:33.068,,-693,-516,1461
12:43:33.078,,-586,-592,1487
12:43:33.088,,-362,-668,1744
12:43:33.098,,-185,-694,1983
12:43:33.108,,-104,-686,1998
12:43:33.118,,-73,-629,1998
12:43:33.128,,-240,-508,1998
12:43:33.138,,-594,-358,1908
12:43:33.148,,-649,-272,1447
12:43:33.158,,-556,-232,996
12:43:33.168,,-374,-347,849
12:43:33.178,,-256,-441,872
12:43:33.188,,-215,-490,1030
12:43:33.198,,-64,-460,1288
12:43:33.208,,-137,-428,1262
12:43:33.218,,-267,-374,1045
12:43:33.228,,-257,-179,968
12:43:33.238,,-439,-126,841
12:43:33.248,,-658,-199,667
12:43:33.258,,-842,-315,222
12:43:33.268,,-750,-251,55
12:43:33.278,,-524,-154,60
12:43:33.288,,-410,-91,-24
12:43:33.298,,-331,20,-176
12:43:33.308,,-343,80,-487
12:43:33.318,,-335,78,-1394
12:43:33.328,,-248,-36,-1716
12:43:33.338,,-129,-136,-1924
12:43:33.348,,-89,-171,-1965
12:43:33.358,,-93,-138,-1774
12:43:33.368,,-73,-78,-1443
12:43:33.378,,-22,-23,-1105
12:43:33.388,,-25,30,-784
12:43:33.398,,-41,98,-590
12:43:33.408,,-70,190,-701
12:43:33.418,,-114,269,-988
12:43:33.428,,-150,355,-1298
12:43:33.438,,-223,373,-1586
12:43:33.448,,-352,294,-1902
12:43:33.458,,-604,228,-1932
12:43:33.468,,-690,178,-1943
12:43:33.478,,-770,188,-1950
12:43:33.488,,-793,225,-1900
12:43:33.498,,-763,202,-1759
12:43:33.508,,-684,255,-1737
12:43:33.518,,-591,252,-1781
12:43:33.528,,-506,301,-1751
12:43:33.538,,-434,362,-1784
12:43:33.548,,-352,345,-1713
12:43:33.558,,-317,291,-1502
12:43:33.568,,-280,177,-1253
12:43:33.578,,-370,50,-692
12:43:33.588,,-450,36,-452
12:43:33.598,,-519,-45,-165
12:43:33.608,,-591,-110,69
12:43:33.618,,-646,-173,236
12:43:33.628,,-759,-223,359
12:43:33.638,,-822,-191,380
12:43:33.648,,-996,-225,465
12:43:33.658,,-1144,-221,625
12:43:33.668,,-1283,-266,762
12:43:33.678,,-1325,-216,923
12:43:33.688,,-1275,-186,1112
12:43:33.698,,-1320,-192,1396
12:43:33.708,,-633,-196,1998
12:43:33.718,,-454,-278,1998
12:43:33.728,,-590,-410,1998
12:43:33.738,,-645,-496,1998
12:43:33.748,,-639,-545,1998
12:43:33.758,,-533,-449,1998
12:43:33.768,,-236,-338,1998
12:43:33.778,,-140,-334,1998
12:43:33.788,,-198,-348,1998
12:43:33.798,,-314,-363,1998
12:43:33.808,,-455,-405,1998
12:43:33.818,,-549,-437,1997
12:43:33.828,,-595,-551,1904
12:43:33.838,,-696,-691,1945
12:43:33.848,,-597,-724,1945
12:43:33.858,,-401,-668,1998
12:43:33.868,,-222,-517,1998
12:43:33.878,,-164,-458,1998
12:43:33.888,,-138,-475,1998
12:43:33.898,,-284,-449,1981
12:43:33.908,,-426,-372,1731
12:43:33.918,,-506,-369,1421
12:43:33.928,,-538,-459,1192
12:43:33.938,,-525,-471,1079
12:43:33.948,,-344,-436,1181
12:43:33.958,,-223,-461,1348
12:43:33.968,,-170,-385,1431
12:43:33.978,,-419,-411,1234
12:43:33.988,,-663,-440,926
12:43:33.998,,-753,-431,683
12:43:34.008,,-776,-401,476
12:43:34.018,,-683,-306,410
12:43:34.028,,-534,-149,479
12:43:34.038,,-495,-101,510
12:43:34.048,,-579,-70,386
12:43:34.058,,-764,16,152
12:43:34.068,,-784,119,-172
12:43:34.078,,-765,174,-604
12:43:34.088,,-780,191,-1363
12:43:34.098,,-548,126,-1598
12:43:34.108,,-432,26,-1672
12:43:34.118,,-381,-42,-1525
12:43:34.128,,-471,-54,-1400
12:43:34.138,,-454,-102,-1287
12:43:34.148,,-471,-37,-1147
12:43:34.158,,-505,106,-1180
12:43:34.168,,-553,223,-1294
12:43:34.178,,-504,343,-1397
12:43:34.329,,-315,183,-1145
12:43:34.331,,-273,141,-1145
12:43:34.332,,-273,141,-1145
12:43:34.333,,-273,141,-1145
12:43:34.335,,-273,141,-1145
12:43:34.336,,-273,141,-1145
12:43:34.337,,-273,141,-1145
12:43:34.339,,-82,68,-957
12:43:34.340,,-82,68,-957
12:43:34.342,,-82,68,-957
12:43:34.343,,-82,68,-957
12:43:34.344,,-82,68,-957
12:43:34.346,,-82,68,-957
12:43:34.347,,-82,68,-957
12:43:34.348,,-22,-27,-737
12:43:34.350,,-22,-27,-737
12:43:34.351,,-22,-27,-737
12:43:34.358,,-139,6,-544
12:43:34.368,,-280,33,-277
12:43:34.378,,-490,-21,16
12:43:34.388,,-667,-54,208
12:43:34.398,,-626,-90,334
12:43:34.408,,-798,-66,448
12:43:34.418,,-976,-93,558
12:43:34.428,,-1087,-91,762
12:43:34.438,,-1171,-213,980
12:43:34.448,,-1318,-397,1036
12:43:34.458,,-1222,-217,1123
12:43:34.468,,-1365,-163,1245
12:43:34.478,,-1105,-193,1075
12:43:34.488,,-1158,-197,1275
12:43:34.498,,-960,-88,1781
12:43:34.508,,-578,12,1998
12:43:34.518,,-262,-28,1998
12:43:34.528,,-275,-207,1998
12:43:34.538,,-438,-332,1998
12:43:34.548,,-631,-362,1998
12:43:34.558,,-675,-354,1998
12:43:34.568,,-650,-410,1998
12:43:34.578,,-652,-431,1998
12:43:34.588,,-658,-388,1998
12:43:34.598,,-643,-387,1998
12:43:34.608,,-504,-370,1998
12:43:34.618,,-422,-355,1998
12:43:34.628,,-436,-391,1998
12:43:34.638,,-563,-446,1998
12:43:34.648,,-657,-419,1998
12:43:34.658,,-735,-411,1979
12:43:34.668,,-833,-342,1774
12:43:34.678,,-762,-279,1543
12:43:34.688,,-605,-242,1306
12:43:34.698,,-419,-241,1179
12:43:34.708,,-216,-238,1266
12:43:34.718,,-25,-247,1488
12:43:34.728,,64,-328,1731
12:43:34.738,,-442,-470,1497
12:43:34.748,,-656,-380,1138
12:43:34.758,,-714,-374,845
12:43:34.768,,-748,-408,580
12:43:34.778,,-574,-344,303
12:43:34.788,,-242,-202,273
12:43:34.798,,13,-143,438
12:43:34.808,,42,-172,523
12:43:34.818,,-85,-222,527
12:43:34.828,,-301,-230,455
12:43:34.838,,-445,-165,372
12:43:34.848,,-472,-143,293
12:43:34.858,,-488,-220,-82
12:43:34.868,,-564,-88,-265
12:43:34.878,,-545,9,-387
12:43:34.888,,-473,94,-503
12:43:34.898,,-416,208,-607
12:43:34.908,,-546,266,-909
12:43:34.918,,-788,303,-1401
12:43:34.928,,-600,337,-1889
12:43:34.938,,-448,417,-1997
12:43:34.948,,-503,401,-1997
12:43:34.958,,-701,286,-1997
12:43:34.968,,-889,269,-1997
12:43:34.978,,-875,296,-1979
12:43:34.988,,-817,342,-1548
12:43:34.998,,-924,398,-1497
12:43:35.008,,-919,446,-1583
12:43:35.018,,-922,460,-1767
12:43:35.028,,-912,467,-1977
12:43:35.038,,-786,467,-1997
12:43:35.048,,-673,438,-1997
12:43:35.058,,-563,427,-1997
12:43:35.068,,-410,404,-1903
12:43:35.078,,-324,323,-1617
12:43:35.088,,-320,257,-1313
12:43:35.098,,-290,201,-1006
12:43:35.108,,-214,167,-701
12:43:35.118,,-189,-16,-223
12:43:35.128,,-378,-60,-40
12:43:35.138,,-547,-60,144
12:43:35.148,,-911,-60,424
12:43:35.158,,-1004,141,633
12:43:35.168,,-903,368,911
12:43:35.178,,-855,317,1109
12:43:35.188,,-988,-13,1217
12:43:35.198,,-949,-241,1382
12:43:35.208,,-1123,-367,1418
12:43:35.218,,-1224,-513,1343
12:43:35.228,,-1468,-590,1210
12:43:35.238,,-1716,-451,1063
12:43:35.248,,-1203,-97,1783
12:43:35.258,,-961,-29,1998
12:43:35.268,,-600,68,1998
12:43:35.278,,-273,122,1998
12:43:35.288,,-153,144,1998
12:43:35.298,,-60,140,1998
12:43:35.308,,-47,59,1998
12:43:35.318,,-350,2,1998
12:43:35.328,,-587,-81,1998
12:43:35.338,,-723,-188,1983
12:43:35.348,,-794,-290,1780
12:43:35.358,,-773,-386,1644
12:43:35.368,,-730,-504,1605
12:43:35.378,,-396,-544,1984
12:43:35.388,,-308,-564,1998
12:43:35.398,,-398,-626,1998
12:43:35.408,,-643,-574,1978
12:43:35.418,,-847,-543,1600
12:43:35.428,,-918,-423,1206
12:43:35.438,,-812,-406,980
12:43:35.448,,-617,-484,895
12:43:35.458,,-395,-531,918
12:43:35.468,,-187,-655,1016
12:43:35.478,,-7,-662,1150
12:43:35.488,,17,-652,1136
12:43:35.498,,-27,-664,794
12:43:35.508,,-391,-604,548
12:43:35.518,,-323,-595,348
12:43:35.528,,-182,-572,189
12:43:35.538,,-68,-474,36
12:43:35.548,,52,-322,-118
12:43:35.558,,159,-197,-228
12:43:35.568,,261,-53,-352
12:43:35.578,,283,91,-420
12:43:35.588,,332,279,-500
12:43:35.598,,400,455,-533
12:43:35.608,,477,590,-474
12:43:35.618,,459,685,-385
12:43:35.628,,304,870,-646
12:43:35.638,,558,1531,-856
12:43:35.784,,-364,524,-476
12:43:35.786,,-364,524,-316
12:43:35.787,,-400,372,-316
12:43:35.788,,-400,372,-316
12:43:35.790,,-400,372,-316
12:43:35.791,,-400,372,-316
12:43:35.792,,-400,372,-316
12:43:35.794,,-400,372,-316
12:43:35.795,,-433,219,-175
12:43:35.796,,-433,219,-175
12:43:35.798,,-433,219,-175
12:43:35.799,,-433,219,-175
12:43:35.801,,-433,219,-175
12:43:35.802,,-433,219,-175
12:43:35.803,,-433,219,-175
12:43:35.805,,-468,109,-39
12:43:35.808,,-468,109,-39
12:43:35.818,,-513,38,50
12:43:35.828,,-579,-66,131
12:43:35.838,,-627,-127,301
12:43:35.848,,-669,-253,481
12:43:35.858,,-727,-382,559
12:43:35.868,,-712,-398,652
12:43:35.878,,-665,-497,701
12:43:35.888,,-789,-789,711
12:43:35.898,,-848,-960,817
12:43:35.908,,-891,-1175,878
12:43:35.918,,-1010,-1541,853
12:43:35.928,,-1240,-1904,809
12:43:35.938,,-1398,-1998,708
12:43:35.948,,-1471,-1998,611
12:43:35.958,,-1661,-1998,395
12:43:35.968,,-1836,-1998,171
12:43:35.978,,-1964,-1998,-23
12:43:35.988,,-1998,-1998,-194
12:43:35.998,,-1998,-1998,-358
12:43:36.008,,-1998,-1998,-419
12:43:36.018,,-1998,-1998,-38
12:43:36.028,,-1982,-1998,347
12:43:36.038,,-1844,-1998,633
12:43:36.048,,-1692,-1867,753
12:43:36.058,,-1556,-1588,784
12:43:36.068,,-1441,-1412,768
12:43:36.078,,-1383,-1252,690
12:43:36.088,,-1280,-1009,583
12:43:36.098,,-1094,-685,298
12:43:36.108,,-1301,-917,225
12:43:36.118,,-1104,-777,465
12:43:36.128,,-1126,-792,381
12:43:36.138,,-992,-599,411
12:43:36.148,,-849,-342,470
12:43:36.158,,-848,-379,359
12:43:36.168,,-878,-315,247
12:43:36.178,,-868,-214,148
12:43:36.188,,-776,-91,57
12:43:36.198,,-670,-54,80
12:43:36.208,,-587,-137,269
12:43:36.218,,-579,-245,438
12:43:36.228,,-662,-291,552
12:43:36.238,,-713,-210,462
12:43:36.248,,-744,-105,151
12:43:36.258,,-831,-23,-190
12:43:36.268,,-925,103,-629
12:43:36.278,,-1063,293,-587
12:43:36.288,,-1030,384,-538
12:43:36.298,,-1056,442,-486
12:43:36.308,,-1240,450,-426
12:43:36.318,,-1436,657,-341
12:43:36.328,,-1514,914,-436
12:43:36.338,,-1606,1314,-751
12:43:36.348,,-1712,1751,-1141
12:43:36.358,,-1833,1996,-1519
12:43:36.368,,-1783,1997,-1675
12:43:36.378,,-1620,1997,-1453
12:43:36.388,,-1526,1997,-1116
12:43:36.398,,-1434,1997,-526
12:43:36.408,,-1076,1997,-399
12:43:36.418,,-764,1997,-450
12:43:36.428,,-544,1997,-599
12:43:36.438,,-358,1997,-628
12:43:36.448,,-177,1997,-589
12:43:36.458,,-143,1997,-709
12:43:36.468,,-296,1997,-887
12:43:36.478,,-474,1997,-1128
12:43:36.488,,-649,1997,-1347
12:43:36.498,,-763,1997,-1507
12:43:36.508,,-755,1948,-1547
12:43:36.518,,-709,1729,-1487
12:43:36.528,,-657,1280,-1195
12:43:36.538,,-542,1057,-1002
12:43:36.548,,-488,938,-818
12:43:36.558,,-496,925,-730
12:43:36.568,,-457,977,-812
12:43:36.578,,-395,1149,-856
12:43:36.588,,-385,1230,-925
12:43:36.598,,-397,1241,-980
12:43:36.608,,-412,1193,-978
12:43:36.618,,-483,1068,-913
12:43:36.628,,-554,981,-752
12:43:36.638,,-567,886,-582
12:43:36.648,,-650,753,-491
12:43:36.658,,-711,565,-408
12:43:36.668,,-716,606,-327
12:43:36.678,,-759,557,-313
12:43:36.688,,-848,461,-373
12:43:36.698,,-895,393,-406
12:43:36.708,,-951,346,-454
12:43:36.718,,-1098,356,-447
12:43:36.728,,-1212,255,-408
12:43:36.738,,-1343,159,-322
12:43:36.748,,-1326,135,-172
12:43:36.758,,-1332,123,-62
12:43:36.768,,-1317,104,-30
12:43:36.778,,-1403,-55,-49
12:43:36.788,,-1628,-538,61
12:43:36.798,,-1587,-850,161
12:43:36.808,,-1591,-1116,271
12:43:36.818,,-1512,-1246,368
12:43:36.828,,-1452,-1414,415
12:43:36.838,,-1467,-1622,384
12:43:36.848,,-1433,-1726,320
12:43:36.858,,-1393,-1810,294
12:43:36.868,,-1403,-1961,269
12:43:36.878,,-1471,-1998,210
12:43:36.888,,-1566,-1998,109
12:43:36.898,,-1698,-1998,5
12:43:36.908,,-1863,-1998,-24
12:43:36.918,,-1911,-1998,226
12:43:36.928,,-1912,-1998,292
12:43:36.938,,-1703,-1998,310
12:43:36.948,,-1546,-1998,312
12:43:36.958,,-1410,-1998,319
12:43:36.968,,-1220,-1911,356
12:43:36.978,,-1064,-1693,407
12:43:36.988,,-956,-1539,454
12:43:36.998,,-900,-1466,512
12:43:37.008,,-881,-1404,536
12:43:37.018,,-900,-1304,500
12:43:37.028,,-944,-1157,399
12:43:37.038,,-926,-1000,319
12:43:37.048,,-789,-679,391
12:43:37.058,,-783,-553,351
12:43:37.204,,-861,1063,-969
12:43:37.206,,-917,1276,-1089
12:43:37.207,,-917,1276,-1089
12:43:37.209,,-917,1276,-1089
12:43:37.210,,-917,1276,-1089
12:43:37.211,,-917,1276,-1089
12:43:37.213,,-917,1276,-1089
12:43:37.214,,-917,1276,-1123
12:43:37.215,,-889,1560,-1123
12:43:37.217,,-889,1560,-1123
12:43:37.218,,-889,1560,-1123
12:43:37.220,,-889,1560,-1123
12:43:37.221,,-889,1560,-1123
12:43:37.222,,-889,1560,-1123
12:43:37.224,,-812,1752,-1046
12:43:37.225,,-812,1752,-1046
12:43:37.228,,-812,1752,-1046
12:43:37.238,,-745,1773,-925
12:43:37.248,,-750,1734,-746
12:43:37.258,,-755,1813,-530
12:43:37.268,,-587,1915,-416
12:43:37.278,,-439,1964,-457
12:43:37.288,,-363,1996,-610
12:43:37.298,,-232,1997,-777
12:43:37.308,,-249,1997,-732
12:43:37.318,,-160,1997,-762
12:43:37.328,,-81,1997,-943
12:43:37.338,,-88,1997,-829
12:43:37.348,,-90,1997,-885
12:43:37.358,,23,1997,-756
12:43:37.368,,92,1986,-664
12:43:37.378,,119,1900,-743
12:43:37.388,,165,1883,-906
12:43:37.398,,152,1826,-991
12:43:37.408,,98,1784,-965
12:43:37.418,,62,1746,-904
12:43:37.428,,-64,1539,-673
12:43:37.438,,-119,1518,-606
12:43:37.448,,-240,1543,-639
12:43:37.458,,-395,1608,-756
12:43:37.468,,-571,1634,-891
12:43:37.478,,-796,1506,-972
12:43:37.488,,-1018,1339,-958
12:43:37.498,,-1126,1160,-864
12:43:37.508,,-1049,976,-741
12:43:37.518,,-862,874,-638
12:43:37.528,,-749,887,-523
12:43:37.538,,-706,876,-462
12:43:37.548,,-812,773,-491
12:43:37.558,,-1049,532,-586
12:43:37.568,,-1082,465,-553
12:43:37.578,,-1130,475,-547
12:43:37.588,,-1156,396,-605
12:43:37.598,,-1297,211,-706
12:43:37.608,,-1311,52,-728
12:43:37.618,,-1244,-141,-577
12:43:37.628,,-1228,-359,-386
12:43:37.638,,-1261,-584,-260
12:43:37.648,,-1244,-828,-165
12:43:37.658,,-1205,-1047,-85
12:43:37.668,,-1195,-1248,-51
12:43:37.678,,-1224,-1440,-52
12:43:37.688,,-1142,-1629,27
12:43:37.698,,-1055,-1674,56
12:43:37.708,,-1012,-1741,28
12:43:37.718,,-1016,-1774,-66
12:43:37.728,,-1019,-1865,-198
12:43:37.738,,-1131,-1995,-300
12:43:37.748,,-1242,-1998,-368
12:43:37.758,,-1341,-1998,-341
12:43:37.768,,-1393,-1998,-299
12:43:37.778,,-1409,-1998,-191
12:43:37.788,,-1364,-1998,-183
12:43:37.798,,-1264,-1998,-61
12:43:37.808,,-1181,-1998,196
12:43:37.818,,-1085,-1998,136
12:43:37.828,,-1079,-1998,-27
12:43:37.838,,-1103,-1916,-179
12:43:37.848,,-1123,-1785,-286
12:43:37.858,,-1136,-1673,-368
12:43:37.868,,-1162,-1561,-388
12:43:37.878,,-1139,-1406,-298
12:43:37.888,,-1075,-1235,-105
12:43:37.898,,-992,-1038,24
12:43:37.908,,-883,-789,104
12:43:37.918,,-746,-541,215
12:43:37.928,,-612,-371,255
12:43:37.938,,-540,-126,140
12:43:37.948,,-416,-19,40
12:43:37.958,,-352,37,-61
12:43:37.968,,-313,30,-157
12:43:37.978,,-330,34,-207
12:43:37.988,,-379,55,-204
12:43:37.998,,-391,102,-210
12:43:38.008,,-420,164,-220
12:43:38.018,,-490,229,-270
12:43:38.028,,-600,292,-313
12:43:38.038,,-688,392,-312
12:43:38.048,,-729,545,-304
12:43:38.058,,-746,671,-322
12:43:38.068,,-686,806,-535
12:43:38.078,,-708,837,-672
12:43:38.088,,-743,863,-689
12:43:38.098,,-740,892,-571
12:43:38.108,,-726,979,-468
12:43:38.118,,-708,1157,-504
12:43:38.128,,-771,1359,-740
12:43:38.138,,-941,1593,-967
12:43:38.148,,-1021,1871,-1095
12:43:38.158,,-1060,1997,-1099
12:43:38.168,,-1031,1997,-1110
12:43:38.178,,-941,1997,-1130
12:43:38.188,,-867,1997,-1084
12:43:38.198,,-637,1997,-993
12:43:38.208,,-516,1997,-996
12:43:38.218,,-495,1997,-1005
12:43:38.228,,-481,1997,-1008
12:43:38.238,,-451,1997,-1068
12:43:38.248,,-452,1997,-1187
12:43:38.258,,-568,1997,-1355
12:43:38.268,,-653,1997,-1430
12:43:38.278,,-686,1991,-1473
12:43:38.288,,-720,1900,-1496
12:43:38.298,,-659,1836,-1605
12:43:38.308,,-558,1794,-1562
12:43:38.318,,-556,1722,-1348
12:43:38.328,,-478,1341,-959
12:43:38.338,,-353,1222,-833
12:43:38.348,,-251,1144,-744
12:43:38.358,,-160,1129,-726
12:43:38.368,,-78,1233,-746
12:43:38.378,,-50,1291,-733
12:43:38.388,,-72,1241,-679
12:43:38.398,,-185,1162,-571
12:43:38.408,,-343,1075,-485
12:43:38.418,,-341,949,-426
12:43:38.428,,-265,806,-368
12:43:38.438,,-119,754,-362
12:43:38.448,,33,881,-438
12:43:38.458,,-6,942,-373
