Sensors' Acquisition [Hz]: Acc@104.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
12:42:58.344,,12,1050,-631
12:42:58.354,,17,983,-549
12:42:58.364,,21,893,-464
12:42:58.374,,34,839,-366
12:42:58.384,,10,827,-319
12:42:58.394,,-24,837,-262
12:42:58.404,,-28,981,-311
12:42:58.414,,-17,1227,-500
12:42:58.424,,28,1514,-729
12:42:58.434,>Gesture,,,
12:42:58.435,,-38,1477,-746
12:42:58.444,,-108,1388,-659
12:42:58.454,,-93,1349,-607
12:42:58.464,,-57,1436,-623
12:42:58.474,,-35,1521,-713
12:42:58.484,,-51,1615,-667
12:42:58.494,,-36,1743,-720
12:42:58.504,,-40,1792,-768
12:42:58.514,,-56,1911,-850
12:42:58.524,,-40,1997,-1013
12:42:58.534,,-22,1997,-1156
12:42:58.544,,-67,1997,-1207
12:42:58.554,,-205,1997,-1248
12:42:58.564,,-282,1997,-1193
12:42:58.574,,-309,1997,-1112
12:42:58.584,,-231,1982,-1007
12:42:58.594,,-113,1975,-921
12:42:58.604,,23,1992,-905
12:42:58.614,,115,1997,-923
12:42:58.624,,140,1997,-957
12:42:58.634,,83,1997,-991
12:42:58.644,,-2,1991,-984
12:42:58.654,,-62,1895,-888
12:42:58.664,,-119,1742,-774
12:42:58.674,,-151,1598,-626
12:42:58.684,,-78,1369,-560
12:42:58.694,,15,1314,-502
12:42:58.704,,83,1214,-411
12:42:58.714,,97,1094,-339
12:42:58.724,,113,1042,-325
12:42:58.734,,88,990,-356
12:42:58.744,,42,915,-361
12:42:58.754,,-9,847,-372
12:42:58.764,,-28,746,-352
12:42:58.774,,-16,660,-330
12:42:58.784,,-36,595,-282
12:42:58.794,,-39,530,-250
12:42:58.804,,4,532,-349
12:42:58.814,,50,464,-394
12:42:58.824,,33,403,-393
12:42:58.834,,20,330,-340
12:42:58.844,,47,252,-261
12:42:58.854,,101,193,-235
12:42:58.864,,131,167,-219
12:42:58.874,,138,77,-132
12:42:58.884,,101,34,-88
12:42:58.894,,75,-35,-76
12:42:58.904,,62,-93,-89
12:42:58.914,,-1,-109,-148
12:42:58.924,,-80,-135,-189
12:42:58.934,,-129,-161,-196
12:42:58.944,,-155,-192,-94
12:42:58.954,,-137,-318,65
12:42:58.964,,-113,-380,115
12:42:58.974,,-87,-360,76
12:42:58.984,,-96,-349,23
12:42:58.994,,-170,-342,-3
12:42:59.004,,-263,-339,-9
12:42:59.014,,-407,-335,-18
12:42:59.024,,-546,-360,12
12:42:59.034,,-528,-376,112
12:42:59.044,,-458,-377,235
12:42:59.054,,-351,-467,313
12:42:59.064,,-195,-449,333
12:42:59.074,,-254,-318,286
12:42:59.084,,-361,-240,245
12:42:59.094,,-529,-221,275
12:42:59.104,,-684,-298,325
12:42:59.114,,-844,-349,394
12:42:59.124,,-1006,-397,360
12:42:59.134,,-1045,-378,327
12:42:59.144,,-1095,-281,280
12:42:59.154,,-1182,-224,208
12:42:59.164,,-1221,-238,71
12:42:59.174,,-1325,-157,48
12:42:59.184,,-1363,-52,49
12:42:59.194,,-1789,-186,24
12:42:59.204,,-1985,-330,147
12:42:59.214,,-1998,-463,271
12:42:59.224,,-1998,-559,410
12:42:59.234,,-1998,-713,538
12:42:59.244,,-1998,-892,595
12:42:59.254,,-1998,-1043,570
12:42:59.264,,-1998,-1056,450
12:42:59.274,,-1998,-985,344
12:42:59.284,,-1998,-868,325
12:42:59.294,,-1998,-749,332
12:42:59.304,,-1998,-687,381
12:42:59.314,,-1998,-718,479
12:42:59.324,,-1998,-854,611
12:42:59.334,,-1998,-937,701
12:42:59.344,,-1998,-940,685
12:42:59.354,,-1980,-868,617
12:42:59.364,,-1906,-766,503
12:42:59.374,,-1837,-674,401
12:42:59.384,,-1714,-599,310
12:42:59.394,,-1625,-529,247
12:42:59.404,,-1553,-495,203
12:42:59.414,,-1458,-541,241
12:42:59.424,,-1358,-618,321
12:42:59.434,,-1310,-703,491
12:42:59.444,,-1290,-773,679
12:42:59.454,,-1276,-719,630
12:42:59.464,,-1254,-583,488
12:42:59.474,,-1208,-442,353
12:42:59.484,,-1086,-347,244
12:42:59.494,,-1042,-337,165
12:42:59.504,,-912,-305,137
12:42:59.514,,-794,-261,151
12:42:59.524,,-704,-239,156
12:42:59.534,,-626,-225,193
12:42:59.544,,-562,-261,242
12:42:59.554,,-515,-287,257
12:42:59.564,,-482,-221,184
12:42:59.574,,-455,-197,132
12:42:59.584,,-399,-28,116
12:42:59.594,,-382,32,77
12:42:59.604,,-356,61,52
12:42:59.614,,-335,93,29
12:42:59.624,,-265,175,-18
12:42:59.634,,-192,322,-98
12:42:59.644,,-143,456,-174
12:42:59.654,,-58,480,-246
12:42:59.664,,24,501,-264
12:42:59.674,,63,517,-255
12:42:59.684,,96,466,-169
12:42:59.694,,71,402,-76
12:42:59.704,,75,490,-164
12:42:59.714,,130,621,-228
12:42:59.724,,172,676,-345
12:42:59.734,,138,750,-460
12:42:59.744,,137,778,-515
12:42:59.754,,142,747,-512
12:42:59.764,,97,652,-405
12:42:59.774,,96,541,-245
12:42:59.925,,-114,1612,-706
12:42:59.926,,-114,1612,-706
12:42:59.928,,-130,1690,-752
12:42:59.929,,-130,1690,-752
12:42:59.930,,-130,1690,-752
12:42:59.932,,-130,1690,-752
12:42:59.933,,-130,1690,-752
12:42:59.934,,-130,1690,-752
12:42:59.936,,-130,1690,-752
12:42:59.937,,-212,1776,-862
12:42:59.939,,-212,1776,-862
12:42:59.940,,-212,1776,-862
12:42:59.941,,-212,1776,-862
12:42:59.943,,-212,1776,-862
12:42:59.944,,-212,1776,-862
12:42:59.945,,-212,1895,-1007
12:42:59.947,,-237,1895,-1007
12:42:59.954,,-237,1895,-1007
12:42:59.964,,-366,1997,-1208
12:42:59.974,,-404,1997,-1332
12:42:59.984,,-431,1997,-1569
12:42:59.994,,-460,1997,-1482
12:43:00.004,,-503,1997,-1286
12:43:00.014,,-479,1997,-1162
12:43:00.024,,-415,1992,-1110
12:43:00.034,,-360,1984,-1090
12:43:00.044,,-244,1986,-1090
12:43:00.054,,-127,1961,-1067
12:43:00.064,,-68,1930,-1048
12:43:00.074,,-19,1900,-1060
12:43:00.084,,36,1829,-992
12:43:00.094,,38,1627,-866
12:43:00.104,,74,1456,-764
12:43:00.114,,143,1364,-711
12:43:00.124,,181,1302,-709
12:43:00.134,,254,1216,-662
12:43:00.144,,305,1195,-696
12:43:00.154,,294,1081,-592
12:43:00.164,,294,967,-497
12:43:00.174,,269,876,-439
12:43:00.184,,250,774,-429
12:43:00.194,,211,689,-383
12:43:00.204,,199,601,-301
12:43:00.214,,186,528,-290
12:43:00.224,,173,525,-418
12:43:00.234,,78,469,-442
12:43:00.244,,-2,405,-457
12:43:00.254,,-10,392,-493
12:43:00.264,,-7,375,-451
12:43:00.274,,-31,285,-349
12:43:00.284,,-40,226,-187
12:43:00.294,,-90,84,-60
12:43:00.304,,-66,-35,-63
12:43:00.314,,0,-42,-59
12:43:00.324,,49,-27,-52
12:43:00.334,,40,-64,1
12:43:00.344,,37,-154,84
12:43:00.354,,-1,-312,54
12:43:00.364,,-14,-291,17
12:43:00.374,,-62,-308,11
12:43:00.384,,-141,-294,26
12:43:00.394,,-159,-288,86
12:43:00.404,,-109,-338,122
12:43:00.414,,-88,-347,120
12:43:00.424,,-87,-369,160
12:43:00.434,,-120,-437,247
12:43:00.444,,-173,-525,316
12:43:00.454,,-219,-555,350
12:43:00.464,,-243,-499,331
12:43:00.474,,-242,-407,202
12:43:00.484,,-318,-352,143
12:43:00.494,,-378,-380,158
12:43:00.504,,-484,-480,224
12:43:00.514,,-585,-535,288
12:43:00.524,,-619,-522,324
12:43:00.534,,-675,-472,329
12:43:00.544,,-802,-397,261
12:43:00.554,,-1013,-350,175
12:43:00.564,,-1135,-473,120
12:43:00.574,,-1176,-530,94
12:43:00.584,,-1229,-559,120
12:43:00.594,,-1169,-590,201
12:43:00.604,,-1122,-481,361
12:43:00.614,,-1107,-434,287
12:43:00.624,,-1219,-409,222
12:43:00.634,,-1369,-457,190
12:43:00.644,,-1655,-515,261
12:43:00.654,,-1970,-575,384
12:43:00.664,,-1998,-695,425
12:43:00.674,,-1998,-791,366
12:43:00.684,,-1998,-807,267
12:43:00.694,,-1998,-773,200
