Sensors' Acquisition [Hz]: Gyro@104.0 
hh:mm:ss.ms, Annotation , GyroX [mdps], GyroY, GyroZ
16:20:11.337,,5390,-1470,-1400
16:20:11.347,,4690,-1330,-1050
16:20:11.357,,3640,-1050,-700
16:20:11.367,,1260,-910,420
16:20:11.377,,0,-1120,980
16:20:11.387,,-840,-1330,1260
16:20:11.397,,-1470,-1820,1190
16:20:11.407,,-1820,-2660,1330
16:20:11.417,,-2100,-3220,1540
16:20:11.427,>Stationary,,,
16:20:11.428,,-2450,-3220,1750
16:20:11.437,,-2520,-2870,1820
16:20:11.447,,-2380,-2660,1750
16:20:11.457,,-1960,-2870,1750
16:20:11.467,,-1190,-3080,1820
16:20:11.477,,-210,-3290,1610
16:20:11.487,,840,-3430,770
16:20:11.497,,2590,-4970,560
16:20:11.507,,3220,-5740,490
16:20:11.517,,3080,-6230,140
16:20:11.527,,2450,-6440,-140
16:20:11.537,,1680,-6230,-350
16:20:11.547,,1120,-5950,-770
16:20:11.557,,1120,-5740,-1330
16:20:11.567,,1610,-5600,-2170
16:20:11.577,,2240,-5530,-3220
16:20:11.587,,3150,-5530,-3640
16:20:11.597,,4270,-5390,-3710
16:20:11.607,,4830,-4900,-3430
16:20:11.617,,4760,-3220,-2030
16:20:11.627,,3850,-2170,-1260
16:20:11.637,,3430,-910,-700
16:20:11.647,,2800,280,-210
16:20:11.657,,1960,1260,280
16:20:11.667,,1050,2100,700
16:20:11.677,,140,2660,1050
16:20:11.687,,-280,2940,1610
16:20:11.697,,-560,2940,2310
16:20:11.707,,-910,3010,3080
16:20:11.717,,-1120,2940,3710
16:20:11.727,,-1190,2870,3990
16:20:11.737,,-1330,3010,3850
16:20:11.747,,-2170,2940,3010
16:20:11.757,,-2240,2590,2730
16:20:11.767,,-1750,2100,2450
16:20:11.777,,-1050,1610,2450
16:20:11.787,,-350,1260,2660
16:20:11.797,,280,1190,2870
16:20:11.807,,840,1330,3010
16:20:11.817,,1120,1330,3010
16:20:11.827,,840,1400,2730
16:20:11.837,,560,1470,2310
16:20:11.847,,350,1470,1680
16:20:11.857,,280,1400,910
16:20:11.867,,630,1190,490
16:20:11.877,,1120,700,210
16:20:11.887,,980,350,350
16:20:11.897,,490,70,560
16:20:11.907,,-420,70,700
16:20:11.917,,-1400,70,770
16:20:11.927,,-2170,-70,700
16:20:11.937,,-2030,-490,630
16:20:11.947,,-980,-910,630
16:20:11.957,,420,-1400,560
16:20:11.967,,1960,-2100,420
16:20:11.977,,3570,-2730,350
16:20:11.987,,4900,-3290,350
16:20:11.997,,5600,-3780,280
16:20:12.007,,4690,-4410,70
16:20:12.017,,3780,-4410,140
16:20:12.027,,2520,-4200,420
16:20:12.037,,1470,-3850,560
16:20:12.047,,840,-3430,560
16:20:12.057,,840,-3010,560
16:20:12.067,,1260,-2800,560
16:20:12.077,,1610,-2870,490
16:20:12.087,,2030,-3150,630
