Sensors' Acquisition [Hz]: Acc@104.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
17:16:08.339,,348,-717,160
17:16:08.349,,493,-903,184
17:16:08.359,,586,-1098,175
17:16:08.369,,705,-1304,151
17:16:08.379,,853,-1462,112
17:16:08.389,,978,-1613,68
17:16:08.399,,1048,-1739,14
17:16:08.409,,1099,-1883,-23
17:16:08.419,,1182,-1980,-70
17:16:08.429,>Gesture,,,
17:16:08.431,,1341,-1998,-377
17:16:08.439,,1341,-1998,-464
17:16:08.449,,1407,-1995,-480
17:16:08.459,,1309,-1932,-472
17:16:08.469,,1189,-1838,-457
17:16:08.479,,1104,-1732,-422
17:16:08.489,,1022,-1632,-343
17:16:08.499,,935,-1551,-263
17:16:08.509,,840,-1462,-192
17:16:08.519,,756,-1368,-132
17:16:08.529,,671,-1281,-75
17:16:08.539,,593,-1166,-41
17:16:08.549,,535,-1065,-43
17:16:08.559,,473,-974,-63
17:16:08.569,,402,-803,-115
17:16:08.579,,316,-743,-174
17:16:08.589,,287,-706,-228
17:16:08.599,,238,-677,-217
17:16:08.609,,192,-619,-205
17:16:08.619,,149,-575,-196
17:16:08.629,,87,-504,-200
17:16:08.639,,31,-420,-214
17:16:08.649,,-16,-343,-224
17:16:08.659,,-80,-274,-211
17:16:08.669,,-135,-212,-219
17:16:08.679,,-167,-146,-258
17:16:08.689,,-184,-72,-298
17:16:08.699,,-177,68,-340
17:16:08.709,,-201,106,-362
17:16:08.719,,-250,105,-376
17:16:08.729,,-274,65,-333
17:16:08.739,,-284,45,-293
17:16:08.749,,-292,59,-263
17:16:08.759,,-291,103,-233
17:16:08.769,,-282,167,-218
17:16:08.779,,-253,236,-213
17:16:08.789,,-218,293,-216
17:16:08.799,,-156,323,-257
17:16:08.809,,-128,336,-277
17:16:08.819,,-103,341,-298
17:16:08.829,,-22,399,-279
17:16:08.839,,-20,387,-229
17:16:08.849,,-21,405,-177
17:16:08.859,,42,446,-149
17:16:08.869,,139,500,-121
17:16:08.879,,278,572,-141
17:16:08.889,,396,660,-193
17:16:08.899,,512,722,-347
17:16:08.909,,633,850,-494
17:16:08.919,,686,1080,-584
17:16:08.929,,670,1412,-718
17:16:08.939,,494,1729,-904
17:16:08.949,,340,1899,-1060
17:16:08.959,,562,1794,-906
17:16:08.969,,689,1639,-777
17:16:08.979,,677,1620,-620
17:16:08.989,,745,1746,-656
17:16:08.999,,836,1939,-774
17:16:09.009,,880,1997,-959
17:16:09.019,,933,1997,-1095
17:16:09.029,,964,1997,-1152
17:16:09.039,,971,1997,-1231
17:16:09.049,,995,1997,-1292
17:16:09.059,,1029,1958,-1319
17:16:09.069,,1019,1880,-1221
17:16:09.079,,1134,1800,-1203
17:16:09.089,,1022,1694,-1190
17:16:09.099,,1006,1682,-1137
17:16:09.109,,949,1694,-1107
17:16:09.119,,892,1706,-1064
17:16:09.129,,848,1707,-982
17:16:09.139,,788,1681,-935
17:16:09.149,,705,1644,-918
17:16:09.159,,668,1587,-918
17:16:09.169,,633,1571,-906
17:16:09.179,,575,1552,-846
17:16:09.189,,528,1482,-752
17:16:09.199,,479,1423,-637
17:16:09.209,,440,1316,-472
17:16:09.219,,295,1138,-462
17:16:09.229,,250,1058,-470
17:16:09.239,,186,1008,-426
17:16:09.249,,134,912,-410
17:16:09.259,,106,823,-364
17:16:09.269,,49,776,-315
17:16:09.279,,34,672,-254
17:16:09.289,,50,562,-179
17:16:09.299,,40,510,-115
17:16:09.309,,58,451,-122
17:16:09.319,,81,390,-137
17:16:09.329,,103,310,-186
17:16:09.339,,112,182,-146
17:16:09.349,,49,180,-79
17:16:09.359,,56,177,-78
17:16:09.369,,120,169,-91
17:16:09.379,,252,142,-107
17:16:09.389,,368,80,-114
17:16:09.399,,423,65,-104
17:16:09.409,,411,109,-67
17:16:09.419,,326,235,-51
17:16:09.429,,354,303,-151
17:16:09.439,,567,236,-307
17:16:09.449,,864,63,-501
17:16:09.459,,1201,-211,-714
17:16:09.469,,1585,-879,-979
17:16:09.479,,1535,-1083,-930
17:16:09.489,,1322,-1166,-796
17:16:09.499,,1061,-1188,-611
17:16:09.509,,832,-1162,-477
17:16:09.519,,694,-1090,-399
17:16:09.529,,636,-1031,-358
17:16:09.539,,629,-1039,-340
17:16:09.549,,642,-1097,-324
17:16:09.559,,659,-1166,-302
17:16:09.569,,704,-1256,-309
17:16:09.579,,764,-1345,-323
17:16:09.589,,836,-1460,-351
17:16:09.599,,963,-1701,-387
17:16:09.609,,981,-1870,-359
17:16:09.619,,990,-1973,-346
17:16:09.629,,945,-1998,-273
17:16:09.639,,866,-1998,-213
17:16:09.649,,803,-1977,-182
17:16:09.659,,749,-1868,-208
17:16:09.669,,688,-1751,-238
17:16:09.679,,594,-1662,-199
17:16:09.689,,518,-1641,-76
17:16:09.699,,503,-1636,10
17:16:09.709,,463,-1537,23
17:16:09.719,,426,-1397,-10
17:16:09.729,,388,-1142,-17
17:16:09.739,,334,-1016,-10
17:16:09.749,,268,-878,22
17:16:09.759,,205,-743,39
17:16:09.881,,-77,360,2
17:16:09.882,,-77,360,2
17:16:09.883,,-77,360,2
17:16:09.885,,-77,360,2
17:16:09.886,,-77,360,2
17:16:09.887,,-38,380,-54
17:16:09.889,,-38,380,-54
17:16:09.890,,-38,380,-54
17:16:09.891,,-38,380,-54
17:16:09.893,,-38,380,-54
17:16:09.894,,-38,380,-54
17:16:09.895,,-38,380,-54
17:16:09.897,,42,426,-108
17:16:09.899,,42,426,-108
17:16:09.909,,150,503,-152
17:16:09.919,,218,562,-214
17:16:09.929,,245,622,-275
17:16:09.939,,307,722,-344
17:16:09.949,,329,804,-393
17:16:09.959,,334,825,-432
17:16:09.969,,313,867,-484
17:16:09.979,,204,1042,-677
17:16:09.989,,143,1072,-714
17:16:09.999,,157,1010,-654
17:16:10.009,,199,915,-547
17:16:10.019,,293,892,-463
17:16:10.029,,405,1008,-421
17:16:10.039,,451,1256,-441
17:16:10.049,,412,1566,-515
17:16:10.059,,372,1789,-567
17:16:10.069,,405,1901,-510
17:16:10.079,,427,1989,-485
17:16:10.089,,408,1988,-435
17:16:10.099,,345,1945,-457
17:16:10.109,,164,1958,-567
17:16:10.119,,142,1939,-498
17:16:10.129,,84,1969,-523
17:16:10.139,,68,1995,-564
17:16:10.149,,135,1997,-641
17:16:10.159,,176,1997,-669
17:16:10.169,,211,1997,-684
