Sensors' Acquisition [Hz]: Gyro@104.0 
hh:mm:ss.ms, Annotation , GyroX [mdps], GyroY, GyroZ
16:19:18.337,,-21140,-29820,210140
16:19:18.347,,-22050,-33180,227640
16:19:18.357,,-23870,-36120,243600
16:19:18.367,,-24290,-37450,257180
16:19:18.377,,-20370,-36960,267680
16:19:18.387,,-13160,-36820,278810
16:19:18.397,,-10080,-37520,291130
16:19:18.407,,-13720,-37590,302470
16:19:18.417,,-24010,-37730,313180
16:19:18.427,>Gesture,,,
16:19:18.428,,-35980,-38500,323960
16:19:18.437,,-44800,-37660,335930
16:19:18.447,,-48020,-33950,344330
16:19:18.457,,-25200,-34090,346220
16:19:18.467,,-10500,-36400,343980
16:19:18.477,,-6090,-39130,343140
16:19:18.487,,-9800,-41510,344330
16:19:18.497,,-15890,-43610,344750
16:19:18.507,,-20930,-44520,343070
16:19:18.517,,-21000,-41160,338100
16:19:18.527,,-14700,-34510,329140
16:19:18.537,,-3220,-27860,318430
16:19:18.547,,9030,-22890,305620
16:19:18.557,,16450,-20790,292320
16:19:18.567,,17290,-17150,280560
16:19:18.577,,17150,-12180,267120
16:19:18.587,,17990,-3220,233800
16:19:18.597,,14560,1680,217210
16:19:18.607,,6650,7140,197610
16:19:18.617,,1260,9240,173180
16:19:18.627,,1400,8680,146020
16:19:18.637,,3290,8540,113610
16:19:18.647,,6300,8820,76790
16:19:18.657,,10780,7770,39830
16:19:18.667,,16520,5250,5880
16:19:18.677,,20720,2940,-24500
16:19:18.687,,21070,700,-50260
16:19:18.697,,19250,-1400,-72170
16:19:18.707,,17780,-3570,-92750
16:19:18.717,,16520,-8680,-131740
16:19:18.727,,15540,-10570,-150710
16:19:18.737,,15050,-11340,-169680
16:19:18.747,,14910,-11410,-186760
16:19:18.757,,14560,-11760,-201740
16:19:18.767,,13440,-12390,-214970
16:19:18.777,,10850,-13300,-226520
16:19:18.787,,5530,-14280,-237440
16:19:18.797,,-1750,-15750,-246540
16:19:18.807,,-9240,-16870,-254310
16:19:18.817,,-14280,-17780,-260610
16:19:18.827,,-18620,-18620,-265720
16:19:18.837,,-24780,-18550,-276010
16:19:18.847,,-30730,-12180,-282030
16:19:18.857,,-28910,-6020,-286790
16:19:18.867,,-25690,2800,-289310
16:19:18.877,,-17640,12250,-289450
16:19:18.887,,-4830,17710,-290430
16:19:18.897,,8820,18340,-290990
16:19:18.907,,20300,16870,-291060
16:19:18.917,,30450,15540,-290500
16:19:18.927,,42490,14770,-289030
16:19:18.937,,51800,13650,-285110
16:19:18.947,,52500,13370,-276780
16:19:18.957,,44240,17080,-265090
16:19:18.967,,28840,31920,-248360
16:19:18.977,,6650,37170,-245070
16:19:18.987,,3430,40950,-245350
16:19:18.997,,7910,39060,-244650
