Sensors' Acquisition [Hz]: Gyro@104.0 
hh:mm:ss.ms, Annotation , GyroX [mdps], GyroY, GyroZ
16:19:38.342,,-12110,493220,74970
16:19:38.352,,-1260,493850,76160
16:19:38.362,,6160,488670,73920
16:19:38.372,,11410,475370,70490
16:19:38.382,,20930,457660,66850
16:19:38.392,,33740,438760,66220
16:19:38.402,,41300,416640,73640
16:19:38.412,,35770,387590,88760
16:19:38.422,,13300,354340,107450
16:19:38.432,>Gesture,,,
16:19:38.433,,-40320,266700,134750
16:19:38.442,,-40320,200830,137690
16:19:38.453,,-22820,132790,134120
16:19:38.462,,1960,74550,126280
16:19:38.473,,21280,28630,117810
16:19:38.482,,28630,-8470,108500
16:19:38.493,,28630,-39060,98630
16:19:38.502,,27020,-65380,88690
16:19:38.512,,25620,-89880,78050
16:19:38.522,,26180,-116970,67620
16:19:38.532,,27720,-151620,58170
16:19:38.542,,29330,-192430,49210
16:19:38.552,,28560,-235760,40040
16:19:38.562,,24710,-277550,29610
16:19:38.572,,7210,-352170,3220
16:19:38.582,,1540,-382340,-5810
16:19:38.592,,-6090,-408170,-16590
16:19:38.602,,-14000,-430150,-27930
16:19:38.612,,-21140,-449330,-35560
16:19:38.622,,-26460,-464310,-41300
16:19:38.632,,-26320,-472920,-47040
16:19:38.642,,-14420,-475300,-53060
16:19:38.652,,3500,-476000,-57540
16:19:38.662,,13440,-477120,-60410
16:19:38.672,,13020,-478450,-65100
16:19:38.682,,3570,-476560,-73360
16:19:38.692,,-9170,-468720,-82250
16:19:38.702,,-28910,-436870,-96880
16:19:38.712,,-39900,-412440,-99960
16:19:38.722,,-50470,-377790,-97440
16:19:38.732,,-63350,-334390,-89390
16:19:38.742,,-77000,-289170,-79520
16:19:38.752,,-84560,-242410,-68600
16:19:38.762,,-82110,-191730,-52710
16:19:38.772,,-76090,-142870,-33600
16:19:38.782,,-73360,-99960,-18060
16:19:38.792,,-76300,-59920,-8820
16:19:38.802,,-83020,-17710,-2870
16:19:38.812,,-91280,29540,3010
16:19:38.822,,-97790,79100,10010
16:19:38.832,,-87570,170870,22050
16:19:38.842,,-63000,207060,24570
16:19:38.852,,-33390,240310,26110
16:19:38.862,,-6090,277130,28490
16:19:38.872,,11130,316890,33110
16:19:38.882,,18060,351260,38430
16:19:38.892,,19040,377230,43260
16:19:38.902,,13090,398580,47950
16:19:38.912,,-2170,420910,51800
16:19:38.922,,-24080,443030,54880
16:19:38.932,,-41370,463120,57470
16:19:38.942,,-49700,481670,59150
16:19:38.952,,-49210,494900,67480
16:19:38.962,,-30590,498750,74410
16:19:38.972,,-13440,484750,76790
16:19:38.982,,6090,468090,74760
16:19:38.992,,24290,449050,70560
16:19:39.002,,36050,426580,66990
16:19:39.012,,36820,402640,67200
16:19:39.022,,28770,377020,73430
16:19:39.032,,14280,345100,83930
16:19:39.042,,-7770,306180,93380
16:19:39.052,,-30240,258300,99120
16:19:39.062,,-36960,197820,101920
16:19:39.072,,-24710,131250,101010
16:19:39.082,,-3570,21630,87430
16:19:39.092,,27020,-19740,76790
16:19:39.102,,29540,-57610,67690
16:19:39.112,,27860,-91140,59080
16:19:39.122,,22960,-121380,51170
16:19:39.132,,16240,-150010,45850
16:19:39.142,,12880,-178220,42840
16:19:39.152,,13370,-209720,41860
16:19:39.162,,14000,-244510,38150
16:19:39.172,,14840,-278600,30240
16:19:39.182,,18200,-310660,19740
16:19:39.192,,24920,-341740,8470
16:19:39.202,,26670,-370790,-4340
16:19:39.212,,14840,-422380,-23800
16:19:39.222,,5530,-438340,-33390
16:19:39.232,,-350,-451290,-40390
16:19:39.242,,-2310,-464590,-46900
16:19:39.252,,-1470,-473760,-54600
16:19:39.262,,-910,-478730,-60340
16:19:39.272,,-6930,-483420,-66150
16:19:39.282,,-18830,-487690,-73710
16:19:39.292,,-32270,-489440,-80290
16:19:39.302,,-44800,-484050,-84000
16:19:39.312,,-54530,-466410,-79520
16:19:39.322,,-65030,-435750,-63420
16:19:39.332,,-82180,-392490,-42000
16:19:39.342,,-122920,-273210,-18760
16:19:39.352,,-137200,-210070,-17430
16:19:39.362,,-140770,-149800,-15610
16:19:39.372,,-133000,-93590,-10990
16:19:39.382,,-115080,-41790,-3220
16:19:39.392,,-93240,3920,3080
16:19:39.402,,-73360,43400,6160
16:19:39.412,,-58520,78610,7420
16:19:39.422,,-45920,114030,9310
16:19:39.432,,-33810,152390,12110
16:19:39.442,,-22750,188510,14140
16:19:39.452,,-14070,218330,16800
16:19:39.462,,-10080,244090,19950
16:19:39.472,,-19530,293090,26600
16:19:39.482,,-27160,317240,28140
16:19:39.492,,-35490,341670,28490
16:19:39.502,,-39550,368900,31570
16:19:39.622,,5600,394870,125790
16:19:39.623,,5600,394870,125790
16:19:39.625,,5600,394870,125790
16:19:39.626,,5600,394870,125790
16:19:39.627,,5600,394870,125790
16:19:39.629,,5600,394870,125790
16:19:39.630,,20650,360430,130760
16:19:39.632,,20650,360430,130760
16:19:39.633,,20650,360430,130760
16:19:39.634,,20650,360430,130760
16:19:39.636,,20650,360430,130760
16:19:39.637,,20650,360430,130760
16:19:39.638,,20650,360430,130760
16:19:39.642,,33950,313320,135870
16:19:39.652,,36750,259280,140630
16:19:39.662,,26530,206010,142170
16:19:39.672,,9030,155820,139090
16:19:39.682,,-4270,108290,133700
16:19:39.692,,-9730,66500,127190
16:19:39.702,,-11830,32410,120400
16:19:39.712,,-12600,5250,114100
16:19:39.722,,-14420,-15470,102760
16:19:39.732,,-15400,-51030,96600
16:19:39.742,,-11550,-74900,87990
16:19:39.752,,-4340,-106260,77770
16:19:39.762,,1470,-145040,68250
16:19:39.772,,5460,-189980,56140
16:19:39.782,,5740,-235060,40460
16:19:39.792,,9380,-275870,24220
16:19:39.802,,16310,-310240,8190
16:19:39.812,,20370,-336980,-7210
16:19:39.822,,19250,-356160,-19810
16:19:39.832,,14490,-372470,-30730
16:19:39.842,,8330,-389340,-42770
16:19:39.852,,4690,-419370,-64400
16:19:39.862,,-210,-431060,-71890
16:19:39.872,,1260,-440720,-77280
16:19:39.882,,7420,-448560,-82670
16:19:39.892,,10990,-455770,-86450
16:19:39.902,,8260,-463260,-90440
16:19:39.912,,1820,-469630,-94990
16:19:39.922,,-5530,-470050,-97090
16:19:39.932,,-11130,-460670,-95200
16:19:39.942,,-15470,-441910,-87920
16:19:39.952,,-23310,-415870,-77210
16:19:39.962,,-40110,-382270,-66430
16:19:39.972,,-66010,-340550,-58100
16:19:39.982,,-118160,-251370,-43120
16:19:39.992,,-130760,-205520,-35280
16:19:40.002,,-132370,-156450,-24570
16:19:40.012,,-131530,-107100,-12180
16:19:40.022,,-130130,-61670,-1190
16:19:40.032,,-126000,-18690,5740
16:19:40.042,,-121730,25970,8330
16:19:40.052,,-117250,71610,8610
16:19:40.062,,-110320,115150,8470
16:19:40.072,,-97370,153720,6720
16:19:40.082,,-74130,183400,6230
16:19:40.092,,-42840,206010,8680
16:19:40.102,,-17430,230160,14980
16:19:40.112,,490,284550,33740
16:19:40.122,,-7560,316050,44730
16:19:40.132,,-23240,345100,55510
16:19:40.142,,-37870,368830,65450
16:19:40.152,,-47600,390880,72730
16:19:40.162,,-54530,411810,78120
16:19:40.172,,-57260,430920,85330
16:19:40.182,,-52850,447160,93170
16:19:40.192,,-38780,458640,100520
16:19:40.202,,-18620,463820,105000
16:19:40.212,,-980,462420,105840
16:19:40.222,,19320,450100,100730
16:19:40.232,,37660,431690,92120
16:19:40.242,,50750,402360,84980
16:19:40.252,,35140,396410,89110
16:19:40.262,,17360,392420,95830
16:19:40.272,,5530,384790,107030
16:19:40.282,,-3780,366660,118790
16:19:40.292,,-15330,338380,126910
16:19:40.302,,-25970,297010,129150
16:19:40.312,,-29820,241500,126980
16:19:40.322,,-25690,181160,122710
16:19:40.332,,-17290,124670,115990
16:19:40.342,,-8400,75250,106610
16:19:40.352,,-3080,34020,94640
16:19:40.362,,-2240,-1260,67550
16:19:40.372,,-3640,-60690,55510
16:19:40.382,,-70,-87500,45570
16:19:40.392,,6580,-118860,37170
16:19:40.402,,14980,-160090,27510
16:19:40.412,,21490,-210140,18550
16:19:40.422,,20300,-261030,9870
16:19:40.432,,15540,-305130,-1470
16:19:40.442,,10780,-339850,-14280
16:19:40.452,,6930,-363860,-25060
16:19:40.462,,2100,-380730,-34230
16:19:40.472,,-7210,-398230,-41510
16:19:40.482,,-20790,-418950,-47390
16:19:40.492,,-32830,-457520,-58240
16:19:40.502,,-33460,-473970,-65030
16:19:40.512,,-24220,-487130,-75390
16:19:40.522,,-10080,-491400,-85750
16:19:40.532,,4060,-490490,-91980
16:19:40.542,,10850,-490000,-94360
16:19:40.552,,5320,-487970,-96110
16:19:40.562,,-6160,-479640,-94990
16:19:40.572,,-13440,-464240,-91070
16:19:40.582,,-21910,-440510,-86380
16:19:40.592,,-38360,-409430,-77910
16:19:40.602,,-59920,-373310,-67340
16:19:40.612,,-80570,-334670,-58730
16:19:40.622,,-102900,-245280,-47600
16:19:40.632,,-108570,-196280,-41160
16:19:40.642,,-110810,-148120,-35070
16:19:40.652,,-105700,-98210,-30660
16:19:40.662,,-99050,-46130,-27020
16:19:40.672,,-93660,3850,-23520
16:19:40.682,,-86030,52010,-19880
16:19:40.692,,-77420,99330,-13160
16:19:40.702,,-71120,145320,-4270
16:19:40.828,,-21000,497560,100800
16:19:40.829,,-21000,497560,100800
16:19:40.830,,-21000,497560,100800
16:19:40.832,,-21000,497560,100800
16:19:40.833,,-21000,497560,100800
16:19:40.834,,-21000,497560,100800
16:19:40.836,,-5880,488880,99610
16:19:40.837,,-5880,488880,99610
16:19:40.839,,-5880,488880,99610
16:19:40.840,,-5880,488880,99610
