Sensors' Acquisition [Hz]: Acc@104.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
17:17:53.336,,-87,186,946
17:17:53.346,,-84,188,951
17:17:53.356,,-103,211,965
17:17:53.366,,-112,208,975
17:17:53.376,,-109,205,976
17:17:53.386,,-105,202,977
17:17:53.396,,-106,200,972
17:17:53.406,,-106,206,968
17:17:53.416,,-108,221,969
17:17:53.426,>Stationary,,,
17:17:53.428,,-110,235,969
17:17:53.436,,-112,233,962
17:17:53.446,,-103,222,957
17:17:53.456,,-94,219,949
17:17:53.466,,-93,221,940
17:17:53.476,,-93,225,943
17:17:53.486,,-102,238,945
17:17:53.496,,-101,239,957
17:17:53.506,,-104,238,965
17:17:53.516,,-103,239,976
17:17:53.526,,-95,239,982
17:17:53.536,,-92,240,986
17:17:53.546,,-96,241,991
17:17:53.556,,-97,247,990
17:17:53.566,,-96,249,985
17:17:53.576,,-85,244,975
17:17:53.586,,-81,249,966
17:17:53.596,,-89,249,967
17:17:53.606,,-88,244,972
17:17:53.616,,-79,249,968
17:17:53.626,,-76,251,966
17:17:53.636,,-78,242,965
17:17:53.646,,-72,236,963
17:17:53.656,,-74,233,961
17:17:53.666,,-78,227,958
17:17:53.676,,-80,221,961
17:17:53.686,,-85,215,965
17:17:53.696,,-83,206,965
17:17:53.706,,-84,209,965
17:17:53.716,,-88,224,967
17:17:53.726,,-102,233,975
17:17:53.736,,-101,223,982
17:17:53.746,,-93,218,980
17:17:53.756,,-91,213,973
17:17:53.766,,-87,211,965
17:17:53.776,,-88,215,961
17:17:53.786,,-93,219,957
17:17:53.796,,-95,218,958
17:17:53.806,,-96,219,959
17:17:53.816,,-101,218,962
17:17:53.826,,-105,216,971
17:17:53.836,,-109,220,979
17:17:53.846,,-110,231,982
17:17:53.856,,-112,244,982
17:17:53.866,,-106,239,968
17:17:53.876,,-96,234,954
17:17:53.886,,-84,234,942
17:17:53.896,,-88,236,940
17:17:53.906,,-98,231,946
17:17:53.916,,-102,220,954
17:17:53.926,,-101,215,960
17:17:53.936,,-97,214,967
17:17:53.946,,-96,218,974
17:17:53.956,,-95,226,983
17:17:53.966,,-95,233,989
17:17:53.976,,-92,232,991
17:17:53.986,,-84,230,991
17:17:53.996,,-95,245,993
17:17:54.006,,-96,243,993
17:17:54.016,,-95,237,989
17:17:54.026,,-90,235,974
17:17:54.036,,-83,232,956
17:17:54.046,,-94,225,955
17:17:54.056,,-114,223,960
17:17:54.066,,-116,214,962
17:17:54.076,,-97,199,956
17:17:54.086,,-74,184,948
17:17:54.096,,-56,165,944
17:17:54.106,,-52,160,941
17:17:54.116,,-47,166,929
17:17:54.126,,-46,183,932
17:17:54.136,,-56,199,945
17:17:54.146,,-70,220,968
17:17:54.156,,-88,230,995
17:17:54.166,,-106,235,1013
17:17:54.176,,-112,241,1027
17:17:54.186,,-108,247,1033
17:17:54.196,,-113,244,1040
17:17:54.206,,-121,242,1035
17:17:54.216,,-116,244,1020
17:17:54.226,,-108,244,1001
17:17:54.236,,-104,232,980
17:17:54.246,,-101,211,958
17:17:54.256,,-110,206,949
17:17:54.266,,-104,191,938
17:17:54.276,,-96,175,935
17:17:54.286,,-96,168,939
17:17:54.296,,-110,168,944
17:17:54.306,,-118,173,949
17:17:54.316,,-123,175,954
17:17:54.326,,-122,171,963
17:17:54.336,,-118,169,964
17:17:54.346,,-119,173,963
17:17:54.356,,-124,186,964
17:17:54.366,,-125,205,967
17:17:54.376,,-143,231,988
17:17:54.386,,-139,225,991
17:17:54.396,,-125,224,986
17:17:54.406,,-117,221,980
17:17:54.416,,-112,218,981
17:17:54.426,,-124,217,983
17:17:54.436,,-125,209,986
17:17:54.446,,-114,195,989
17:17:54.456,,-103,190,979
17:17:54.466,,-98,189,977
17:17:54.476,,-101,193,952
17:17:54.486,,-96,185,978
17:17:54.496,,-109,195,950
17:17:54.506,,-116,184,961
17:17:54.516,,-115,185,963
17:17:54.526,,-110,193,965
17:17:54.536,,-116,196,966
